date,scandal,buy,sell,decline,positivity,subjectivity
2015-10-23,0,0,0,0,0.0,0.0
2015-10-26,0,0,0,0,0.0,0.0
2015-12-17,0,0,0,0,0.0,0.0
2016-05-19,0,0,0,0,0.0,0.0
2016-06-08,0,0,0,0,0.0,0.0
2016-07-13,0,0,0,0,0.0,0.0
2016-08-02,0,0,0,0,0.0,0.0
2016-08-04,0,0,0,0,0.0,0.0
2016-08-24,0,0,0,0,0.0,0.0
2016-09-01,0,0,0,0,-0.0625,0.416666666667
2016-10-13,0,0,0,0,0.0,0.0
2016-11-01,0,0,0,0,0.0,0.0
2016-11-17,0,0,0,0,0.0,1.0
2016-11-21,0,0,0,0,0.136363636364,0.454545454545
2016-12-19,0,0,0,0,0.0,0.0
2017-02-07,0,0,0,0,0.0,0.0
2017-02-15,0,0,0,0,0.0,0.0
2017-02-17,0,0,0,0,0.0,0.625
2017-03-31,0,0,0,0,0.0,0.0
2017-04-03,0,0,0,0,0.0,0.75
2017-04-12,0,0,0,0,0.0,0.5
2017-05-18,0,0,0,0,0.0,0.0
2017-08-17,0,0,0,0,0.0,0.0
2017-09-20,0,0,0,0,-0.125,0.375
2017-10-02,0,0,0,0,-0.4,0.7
2017-10-03,0,0,0,1,0.204545454545,0.715151515152
2017-10-04,0,0,0,0,0.0,0.0
2017-10-05,0,1,0,0,0.206060606061,1.44242424242
2017-10-06,0,0,1,0,-0.419191919192,1.44343434343
2017-10-07,0,0,0,0,0.136363636364,0.454545454545
2017-10-08,0,0,0,0,0.1,0.1
2017-10-09,0,0,0,0,-0.127272727273,1.60909090909
2017-10-10,0,1,0,0,0.272727272727,1.03409090909
2017-10-11,0,2,0,3,0.963636363636,2.45795454545
2017-10-12,0,0,0,2,0.136363636364,0.554545454545
2017-10-13,0,0,0,0,0.136363636364,0.554545454545
2017-10-14,0,0,0,0,0.0,0.0666666666667
2017-10-15,0,0,0,0,0.736363636364,1.40454545455
2017-10-16,0,0,1,0,0.883333333333,3.65
