date,scandal,buy,sell,decline,positivity,subjectivity
2016-06-27,0,0,0,0,0.0,0.0
2016-06-28,0,0,0,0,0.0,0.0
2016-07-21,0,0,0,0,0.0,0.0
2016-07-22,0,0,0,0,0.0,0.0
2016-10-20,0,0,0,0,0.0,0.0
2016-10-24,0,0,0,0,0.0,0.0
2017-01-19,0,0,0,0,0.0,0.0
2017-07-19,0,0,0,0,0.0,0.0
2017-07-20,0,0,0,0,0.0,0.0
2017-10-02,0,0,0,0,-0.075,0.6
2017-10-03,0,0,0,0,0.25,0.7
2017-10-04,0,0,0,0,0.33,0.52
2017-10-05,0,0,0,0,0.75,0.75
2017-10-06,0,0,0,0,0.586363636364,1.30454545455
2017-10-07,0,0,1,0,0.0,0.0
2017-10-09,0,0,0,0,0.03,0.553333333333
2017-10-10,0,1,0,0,-0.16875,0.9625
2017-10-11,0,0,0,0,0.16,0.64
2017-10-12,0,1,0,0,0.266071428571,1.58035714286
2017-10-13,0,0,0,0,0.0,0.0
2017-10-14,0,0,0,0,0.0,0.0
2017-10-15,0,0,0,0,0.0,0.0
2017-10-16,0,0,1,0,0.99696969697,3.12272727273
