date,scandal,buy,sell,decline,positivity,subjectivity
2015-10-29,0,0,0,0,0.0,0.0
2016-01-19,0,0,0,0,0.0,0.0
2016-01-26,0,0,0,0,0.0,0.625
2016-04-12,0,0,0,0,0.0,0.0
2016-04-29,0,0,0,0,0.0,0.0
2016-05-24,0,0,0,0,0.0,0.0
2016-07-28,0,0,0,0,0.0,0.0
2016-08-15,0,0,0,0,0.0,0.0
2016-08-16,0,0,0,0,0.0,1.0
2016-09-12,0,0,0,0,0.0,0.0
2016-10-06,0,0,0,0,0.0,0.0
2016-10-17,0,0,0,0,0.0,0.0
2016-10-27,0,0,0,0,0.0,0.0
2016-11-29,0,0,0,0,0.0,0.0
2016-12-07,0,0,0,0,0.0,0.0
2016-12-14,0,0,0,0,0.0,0.0
2016-12-19,0,0,0,0,-0.0666666666667,0.6
2016-12-20,0,0,0,0,0.0,1.0
2017-01-09,0,0,0,0,0.0,0.0
2017-01-23,0,0,0,0,0.0,0.0
2017-01-26,0,0,0,0,0.0,0.0
2017-02-01,0,0,0,0,0.0,0.0
2017-02-21,0,0,0,0,0.0,0.0
2017-03-28,0,0,0,0,0.0,0.0
2017-05-24,0,0,0,0,0.0,0.0
2017-06-01,0,0,0,0,0.0,0.0
2017-06-02,0,0,0,0,0.5,0.5
2017-07-05,0,0,0,0,0.0,0.0
2017-07-20,0,0,0,0,0.0,0.0
2017-07-27,0,0,0,0,0.0,0.0
2017-10-02,0,0,0,0,0.7,0.9
2017-10-03,0,1,1,0,0.0,0.0
2017-10-04,0,0,0,0,0.5,0.9
2017-10-05,0,0,0,0,0.33,0.52
2017-10-06,0,0,0,0,0.0,0.1
2017-10-09,0,1,2,0,0.0,0.05
2017-10-10,0,0,0,0,0.0,0.0
2017-10-11,0,0,1,0,0.0,0.0
2017-10-12,0,0,0,0,1.30422077922,2.38073593074
2017-10-13,0,2,0,0,0.205555555556,2.22777777778
2017-10-14,0,1,0,1,0.2,1.4
2017-10-15,0,0,1,0,-0.174305555556,1.43888888889
2017-10-16,0,0,2,0,0.983333333333,4.675
