date,scandal,buy,sell,decline,positivity,subjectivity
2015-10-20,0,0,0,0,-0.2,0.3
2015-11-17,0,0,0,0,-0.1,0.3375
2015-12-02,0,0,0,0,-0.25,0.4
2015-12-07,0,0,1,0,-0.45303030303,1.22878787879
2016-04-20,0,0,0,0,-0.05,0.3
2016-05-09,0,1,0,0,-0.2,0.3
2016-06-09,0,0,0,0,-0.2,0.3
2016-07-20,0,0,0,0,-0.2,0.3
2016-08-10,0,0,0,0,-0.2,0.3
2016-08-11,0,0,0,0,-0.4,0.6
2016-09-07,0,0,0,0,-0.2,0.3
2016-10-19,0,0,0,0,-0.2,0.6
2016-12-05,0,0,0,0,-0.1,0.15
2017-01-25,0,0,1,0,-0.4,0.6
2017-01-26,0,0,0,0,-0.2,0.3
2017-04-19,0,0,0,0,-0.2,0.3
2017-07-19,0,0,0,0,-0.2,0.3
2017-08-10,0,0,0,0,-0.2,0.3
2017-10-02,0,0,0,0,-0.4,0.6
2017-10-03,0,0,0,0,-1.025,2.25
2017-10-04,0,0,0,0,-0.25,1.55
2017-10-05,0,0,1,1,-1.36666666667,2.23333333333
2017-10-06,0,0,0,0,-0.3,0.5
2017-10-09,0,0,0,0,-1.2,1.8
2017-10-10,0,0,0,0,-1.22222222222,3.18055555556
2017-10-11,0,0,1,0,-0.42,1.02
2017-10-12,0,0,0,0,-0.4,1.5
2017-10-13,0,0,0,0,0.0,0.0
2017-10-15,0,0,0,0,0.2,1.55
2017-10-16,0,0,0,1,-2.0,3.55
