date,scandal,buy,sell,decline,positivity,subjectivity
2015-10-19,0,0,0,0,0.0,0.0
2015-10-26,0,0,0,0,0.0,0.0
2015-12-18,0,0,0,0,0.0,0.0
2016-01-14,0,0,0,0,0.0,0.0
2016-03-07,0,0,0,0,0.0,0.0
2016-05-05,0,0,0,0,0.0,0.0333333333333
2016-05-06,0,0,0,0,0.0,0.0
2016-06-07,0,0,0,0,0.0,0.0
2016-06-14,0,0,0,0,0.0,0.0
2016-07-05,0,0,0,0,0.0,0.0
2016-07-06,0,0,0,0,0.0,0.0
2016-07-07,0,0,0,0,0.0,0.0
2016-07-08,0,0,0,0,0.0,0.0
2016-07-11,0,0,0,0,0.0333333333333,0.133333333333
2016-07-19,0,0,0,0,0.0,0.0
2016-07-27,0,0,0,0,0.0,0.0
2016-08-16,0,0,0,0,0.0,0.0333333333333
2016-08-29,0,0,0,0,0.0,0.0
2016-10-10,0,0,0,0,0.0,0.0
2016-10-11,0,0,0,0,0.1,0.4
2016-10-12,0,0,0,0,0.0,0.0
2016-10-25,0,1,0,0,0.0,0.0
2016-10-28,0,0,0,0,0.0,0.0
2016-10-31,0,0,0,0,0.2,0.3
2016-11-08,0,0,0,0,0.0,0.0
2016-11-17,0,0,0,0,0.0,0.0
2016-12-08,0,0,1,0,0.0,0.0
2016-12-22,0,0,0,0,0.0,0.0
2017-01-09,0,0,0,0,0.0,0.0
2017-01-13,0,0,0,0,0.0,0.0384615384615
2017-02-22,0,0,0,0,0.0,0.0
2017-03-29,0,0,0,0,-0.0416666666667,0.125
2017-04-17,0,0,0,0,0.0,0.0384615384615
2017-04-24,0,0,0,0,0.0,0.0
2017-05-03,0,0,0,0,0.0,0.0
2017-06-05,0,0,0,0,0.0,0.0
2017-06-06,0,0,0,0,0.0,0.0
2017-06-10,0,0,0,0,0.136363636364,0.454545454545
2017-06-28,0,0,0,0,0.0,0.0
2017-06-30,0,0,0,0,0.0,0.0
2017-07-28,0,0,0,0,0.136363636364,0.454545454545
2017-08-03,0,0,0,0,0.0,0.25
2017-08-04,0,0,0,0,0.0,0.0
2017-08-16,0,0,0,0,0.0,0.0
2017-09-12,0,0,0,0,0.0,0.0
2017-09-29,0,0,0,0,0.136363636364,0.454545454545
2017-10-02,0,0,0,0,0.0,0.0
2017-10-03,0,0,0,0,0.0,0.0
2017-10-04,0,0,1,0,0.0,0.0
2017-10-05,0,0,0,0,0.0,0.0
2017-10-07,0,0,0,0,0.0636363636364,0.472727272727
2017-10-09,0,0,0,0,0.25,0.25
2017-10-10,0,0,0,0,0.08,0.27
2017-10-11,0,0,0,0,0.0,0.0
2017-10-12,0,0,1,0,-0.7,1.1
2017-10-13,0,2,0,0,0.416666666667,1.83333333333
2017-10-14,0,1,0,0,0.7,1.325
2017-10-15,0,0,1,0,-0.6,3.48333333333
2017-10-16,0,5,3,0,0.379545454545,3.44015151515
