date,scandal,buy,sell,decline,positivity,subjectivity
2015-10-26,0,0,0,0,0.0,0.0
2015-12-10,0,0,0,0,0.0,0.0
2016-01-26,0,0,0,0,0.0,0.0
2016-02-01,0,0,0,0,0.0,0.0
2016-02-10,0,0,0,0,0.0,0.0
2016-02-16,0,1,0,0,0.0,0.0
2016-03-02,0,0,0,0,0.0,0.0
2016-04-29,0,0,0,0,0.0,0.0
2016-07-27,0,0,0,0,0.0,0.0
2016-08-23,0,0,0,0,0.0,0.5
2016-09-02,0,0,0,0,0.0,0.0
2016-09-14,0,0,0,0,0.0,0.0
2016-10-27,0,0,0,0,0.0,0.0
2016-11-07,0,0,0,0,0.0,0.5
2016-12-07,0,0,0,0,0.0,0.0
2016-12-19,0,0,0,0,0.0,0.0
2017-01-10,0,0,0,0,0.0,0.0
2017-01-24,0,0,0,0,0.0,0.0
2017-01-31,0,0,0,0,0.0,0.0
2017-03-20,0,0,0,0,0.0,0.75
2017-04-25,0,0,0,0,0.0,0.0
2017-05-03,0,0,0,0,0.0,0.0
2017-08-04,0,0,0,0,0.0,0.0
2017-08-09,0,0,0,0,0.0,0.0
2017-08-23,0,0,0,0,0.0,0.0
2017-09-20,0,0,0,0,0.0,0.0
2017-10-02,0,1,0,0,0.25,1.75
2017-10-03,0,1,1,0,0.0,0.0
2017-10-04,0,0,0,0,0.0,0.0
2017-10-05,0,0,0,0,0.0,0.0
2017-10-07,0,0,0,0,0.0,0.0
2017-10-08,0,0,0,0,0.0,0.0
2017-10-09,0,3,0,0,-0.4,0.7
2017-10-10,0,1,0,0,0.0,0.0
2017-10-11,0,0,0,0,-0.3,1.3
2017-10-12,0,1,0,0,0.280303030303,1.41022727273
2017-10-13,0,0,0,0,0.3,0.2
2017-10-14,0,0,0,0,0.398148148148,0.762962962963
2017-10-15,0,0,1,0,0.918181818182,1.65227272727
2017-10-16,0,0,1,0,-0.35,4.50416666667
