var1(t-1),var2(t-1),var1(t+29),var2(t+29)
2708700000.0,2058.199951,3361750000.0,2100.340088
3799120000.0,2020.579956,3370020000.0,2099.679932
4460110000.0,2002.609985,3247100000.0,2097.449951
3805480000.0,2025.900024,3281600000.0,2110.300049
3934010000.0,2062.139893,3093680000.0,2109.659912
3364140000.0,2044.810059,3199840000.0,2115.47998
3456460000.0,2028.26001,3312340000.0,2113.860107
4107300000.0,2023.030029,3408690000.0,2110.73999
4378680000.0,2011.27002,3547380000.0,2104.5
4276720000.0,1992.670044,3409490000.0,2117.389893
4056410000.0,2019.420044,3262300000.0,2107.780029
3944340000.0,2022.550049,3421110000.0,2098.530029
3730070000.0,2032.119995,3103030000.0,2101.040039
4176050000.0,2063.149902,3853570000.0,2071.26001
3573560000.0,2051.820068,3349090000.0,2079.429932
3465760000.0,2057.090088,3668900000.0,2044.160034
3329810000.0,2029.550049,3406570000.0,2040.23999
4067530000.0,2002.160034,3405860000.0,2065.949951
4127140000.0,2021.25,3498560000.0,2053.399902
4568650000.0,1994.98999,3295600000.0,2081.189941
4008330000.0,2020.849976,3221840000.0,2074.280029
4615900000.0,2050.030029,4128210000.0,2099.5
4141920000.0,2041.51001,3305220000.0,2089.27002
3821990000.0,2062.52002,5554120000.0,2108.100098
4232970000.0,2055.469971,3267960000.0,2104.419922
3549540000.0,2046.73999,3189820000.0,2091.5
3669850000.0,2068.590088,3521140000.0,2061.050049
3596860000.0,2068.530029,3510670000.0,2056.149902
3788350000.0,2088.47998,3008550000.0,2061.02002
3527450000.0,2096.98999,2917690000.0,2086.23999
3361750000.0,2100.340088,3376550000.0,2067.889893
3370020000.0,2099.679932,3543270000.0,2059.689941
3247100000.0,2097.449951,3095960000.0,2066.959961
3281600000.0,2110.300049,3302970000.0,2080.620117
3093680000.0,2109.659912,3065510000.0,2076.330078
3199840000.0,2115.47998,3265330000.0,2081.899902
3312340000.0,2113.860107,3172360000.0,2091.179932
3408690000.0,2110.73999,3156200000.0,2102.060059
3547380000.0,2104.5,2908420000.0,2092.429932
3409490000.0,2117.389893,3301270000.0,2095.840088
3262300000.0,2107.780029,4013760000.0,2106.629883
3421110000.0,2098.530029,3434120000.0,2104.98999
3103030000.0,2101.040039,3627600000.0,2081.179932
3853570000.0,2071.26001,3000160000.0,2100.399902
3349090000.0,2079.429932,3243410000.0,2097.290039
3668900000.0,2044.160034,3348480000.0,2107.959961
3406570000.0,2040.23999,3636670000.0,2112.929932
3405860000.0,2065.949951,3375780000.0,2117.689941
3498560000.0,2053.399902,3438750000.0,2108.919922
3295600000.0,2081.189941,3546270000.0,2114.76001
3221840000.0,2074.280029,4074970000.0,2106.850098
4128210000.0,2099.5,4509680000.0,2085.51001
3305220000.0,2089.27002,3379390000.0,2108.290039
5554120000.0,2108.100098,3091580000.0,2114.48999
3267960000.0,2104.419922,3793950000.0,2089.459961
3189820000.0,2091.5,3792210000.0,2080.149902
3521140000.0,2061.050049,3676640000.0,2088.0
3510670000.0,2056.149902,3399440000.0,2116.100098
3008550000.0,2061.02002,2992670000.0,2105.330078
2917690000.0,2086.23999,3139520000.0,2099.120117
3376550000.0,2067.889893,3374260000.0,2098.47998
3543270000.0,2059.689941,3225740000.0,2121.100098
3095960000.0,2066.959961,3092080000.0,2122.72998
3302970000.0,2080.620117,2888190000.0,2129.199951
3065510000.0,2076.330078,3296030000.0,2127.830078
3265330000.0,2081.899902,3025880000.0,2125.850098
3172360000.0,2091.179932,3070460000.0,2130.820068
3156200000.0,2102.060059,2571860000.0,2126.060059
2908420000.0,2092.429932,3342130000.0,2104.199951
3301270000.0,2095.840088,3127960000.0,2123.47998
4013760000.0,2106.629883,2980350000.0,2120.790039
3434120000.0,2104.98999,3927390000.0,2107.389893
3627600000.0,2081.179932,3011710000.0,2111.72998
3000160000.0,2100.399902,3049350000.0,2109.600098
3243410000.0,2097.290039,3099980000.0,2114.070068
3348480000.0,2107.959961,3200050000.0,2095.840088
3636670000.0,2112.929932,3243690000.0,2092.830078
3375780000.0,2117.689941,2917150000.0,2079.280029
3438750000.0,2108.919922,3034580000.0,2080.149902
3546270000.0,2114.76001,3414320000.0,2105.199951
4074970000.0,2106.850098,3128600000.0,2108.860107
4509680000.0,2085.51001,2719400000.0,2094.110107
3379390000.0,2108.290039,3061570000.0,2084.429932
3091580000.0,2114.48999,2919900000.0,2096.290039
3793950000.0,2089.459961,3222240000.0,2100.439941
3792210000.0,2080.149902,3520360000.0,2121.23999
3676640000.0,2088.0,4449810000.0,2109.98999
3399440000.0,2116.100098,3030020000.0,2122.850098
2992670000.0,2105.330078,3091190000.0,2124.199951
3139520000.0,2099.120117,3102480000.0,2108.580078
3374260000.0,2098.47998,3214610000.0,2102.310059
3225740000.0,2121.100098,5025470000.0,2101.48999
3092080000.0,2122.72998,3678960000.0,2057.639893
2888190000.0,2129.199951,4078540000.0,2063.110107
3296030000.0,2127.830078,3727260000.0,2077.419922
3025880000.0,2125.850098,2996540000.0,2076.780029
3070460000.0,2130.820068,3486360000.0,2068.76001
2571860000.0,2126.060059,4458660000.0,2081.340088
3342130000.0,2104.199951,3608780000.0,2046.680054
3127960000.0,2123.47998,3446810000.0,2051.310059
2980350000.0,2120.790039,3065070000.0,2076.620117
3927390000.0,2107.389893,3096730000.0,2099.600098
3011710000.0,2111.72998,3002120000.0,2108.949951
3049350000.0,2109.600098,3261810000.0,2107.399902
3099980000.0,2114.070068,3227080000.0,2124.290039
3200050000.0,2095.840088,3362750000.0,2126.639893
3243690000.0,2092.830078,3245870000.0,2128.280029
2917150000.0,2079.280029,3343690000.0,2119.209961
3034580000.0,2080.149902,3694070000.0,2114.149902
3414320000.0,2105.199951,3772810000.0,2102.149902
3128600000.0,2108.860107,3870040000.0,2079.649902
2719400000.0,2094.110107,3836750000.0,2067.639893
3061570000.0,2084.429932,4117740000.0,2093.25
2919900000.0,2096.290039,4038900000.0,2108.570068
3222240000.0,2100.439941,3579410000.0,2108.629883
3520360000.0,2121.23999,3681340000.0,2103.840088
4449810000.0,2109.98999,3476770000.0,2098.040039
3030020000.0,2122.850098,3546710000.0,2093.320068
3091190000.0,2124.199951,3968680000.0,2099.840088
3102480000.0,2108.580078,4246570000.0,2083.560059
3214610000.0,2102.310059,3602320000.0,2077.570068
5025470000.0,2101.48999,3514460000.0,2104.179932
3678960000.0,2057.639893,3708880000.0,2084.070068
4078540000.0,2063.110107,4269130000.0,2086.050049
3727260000.0,2077.419922,3221300000.0,2083.389893
2996540000.0,2076.780029,2795590000.0,2091.540039
3486360000.0,2068.76001,2867690000.0,2102.439941
4458660000.0,2081.340088,2949990000.0,2096.919922
3608780000.0,2046.680054,3512920000.0,2079.610107
3446810000.0,2051.310059,3922470000.0,2035.72998
3065070000.0,2076.620117,5018240000.0,1970.890015
3096730000.0,2099.600098,6612690000.0,1893.209961
3002120000.0,2108.949951,5183560000.0,1867.609985
3261810000.0,2107.399902,5338250000.0,1940.51001
3227080000.0,2124.290039,5006390000.0,1987.660034
3362750000.0,2126.639893,3949080000.0,1988.869995
3245870000.0,2128.280029,3915100000.0,1972.180054
3343690000.0,2119.209961,4371850000.0,1913.849976
3694070000.0,2114.149902,3742620000.0,1948.859985
3772810000.0,2102.149902,3520700000.0,1951.130005
3870040000.0,2079.649902,3167090000.0,1921.219971
3836750000.0,2067.639893,3548650000.0,1969.410034
4117740000.0,2093.25,3652120000.0,1942.040039
4038900000.0,2108.570068,3626320000.0,1952.290039
3579410000.0,2108.629883,3218590000.0,1961.050049
3681340000.0,2103.840088,3000200000.0,1953.030029
3476770000.0,2098.040039,3239860000.0,1978.089966
3546710000.0,2093.320068,3630680000.0,1995.310059
3968680000.0,2099.840088,4183790000.0,1990.199951
4246570000.0,2083.560059,6021240000.0,1958.030029
3602320000.0,2077.570068,3269350000.0,1966.969971
3514460000.0,2104.179932,3808260000.0,1942.73999
3708880000.0,2084.070068,3190530000.0,1938.76001
4269130000.0,2086.050049,4091530000.0,1932.23999
3221300000.0,2083.389893,3721870000.0,1931.339966
2795590000.0,2091.540039,4326660000.0,1881.77002
2867690000.0,2102.439941,4132390000.0,1884.089966
2949990000.0,2096.919922,4525070000.0,1920.030029
3512920000.0,2079.610107,3983600000.0,1923.819946
3922470000.0,2035.72998,4378570000.0,1951.359985
5018240000.0,1970.890015,4334490000.0,1987.050049
6612690000.0,1893.209961,4202400000.0,1979.920044
5183560000.0,1867.609985,4666470000.0,1995.829956
5338250000.0,1940.51001,3939140000.0,2013.430054
5006390000.0,1987.660034,3706900000.0,2014.890015
3949080000.0,1988.869995,2893250000.0,2017.459961
3915100000.0,1972.180054,3401920000.0,2003.689941
4371850000.0,1913.849976,3644590000.0,1994.23999
3742620000.0,1948.859985,3746290000.0,2023.859985
3520700000.0,1951.130005,3595430000.0,2033.109985
3167090000.0,1921.219971,3287320000.0,2033.660034
3548650000.0,1969.410034,3331500000.0,2030.77002
3652120000.0,1942.040039,3627790000.0,2018.939941
3626320000.0,1952.290039,4430850000.0,2052.51001
