date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,0,0,0,0.0,0.0,0
2015-12-08,0,0,0,0,0.0,0.0,0
2016-01-06,0,0,0,0,0.0,0.0,0
2016-05-16,0,0,0,0,0.0,0.0,0
2016-08-17,0,0,0,0,0.0,0.0,3
2016-09-15,0,0,0,0,0.0,0.0,0
2016-09-21,0,0,0,0,0.0,0.0,0
2016-09-29,0,0,0,0,0.0,0.0,0
2016-11-15,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,0,0.0,0.0,0
2016-12-21,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.75,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-03-15,0,0,0,0,0.0,0.0,0
2017-05-22,0,0,0,0,0.0,0.0,0
2017-06-02,0,0,0,0,0.0,0.0,0
2017-07-07,0,0,0,0,0.0,0.0,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-07-24,0,0,0,0,0.0,0.0,0
2017-08-15,0,0,0,0,0.0,0.0,3
2017-08-23,0,0,0,0,0.0,0.0,0
2017-09-13,0,0,0,0,0.0,0.0,0
2017-09-19,0,0,0,0,0.0,0.0,0
2017-09-22,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.3,0.5,0
2017-10-18,0,0,0,0,0.0,0.3,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,2,0,0,0.25,0.25,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.583333333333,0.75,0
2017-11-06,0,0,0,0,0.5,0.9,0
2017-11-08,0,0,0,0,0.0,0.1,0
2017-11-09,0,0,0,0,0.625,0.725,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.4,0
2017-11-13,0,3,0,0,0.664285714286,4.62619047619,0
2017-11-14,0,0,1,0,0.25,0.85,0
2017-11-15,0,1,1,0,1.71666666667,3.95833333333,0
2017-11-16,0,1,1,0,0.0,0.0,0
