date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-11,0,0,0,0,0.0,0.0,0
2016-01-28,0,0,0,0,0.0,0.0,0
2016-02-01,0,0,0,0,0.0,0.0,0
2016-02-19,0,0,0,0,0.0,0.0,0
2016-03-02,0,0,0,0,0.0,0.0,0
2016-04-16,0,0,0,0,0.0,0.0,0
2016-04-28,0,0,0,0,0.0,0.0,0
2016-06-10,0,0,0,0,0.0,0.0,0
2016-07-12,0,0,0,0,0.0,0.0,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-07-20,0,0,0,0,0.0,0.0,3
2016-08-26,0,0,0,0,-0.3,0.2,0
2016-09-16,0,1,1,0,0.0,0.0,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-09-29,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-12,0,0,0,0,0.0,0.0,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,0
2016-10-21,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-07,0,0,0,0,0.0,0.0,0
2016-11-30,0,0,0,0,0.0,0.0,0
2016-12-09,0,0,0,0,0.0,0.0,0
2016-12-30,0,0,0,0,0.0,0.0,0
2017-01-09,0,0,0,0,-0.1,0.2,0
2017-01-17,0,0,0,0,0.245454545455,0.318181818182,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-02-17,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.1,0.0,0
2017-02-23,0,0,0,0,0.0,1.0,0
2017-04-13,0,0,0,0,0.0,0.0,0
2017-04-14,0,1,0,0,0.0,0.0,0
2017-04-19,0,0,0,0,0.55,0.675,0
2017-06-05,0,0,0,0,0.0,0.0,0
2017-06-09,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-07,0,0,0,0,0.0,0.0,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-07-31,0,0,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.5,0.875,0
2017-08-15,0,0,0,0,0.0,0.0,0
2017-08-16,0,0,0,0,0.1,0.1,0
2017-08-30,0,0,0,0,0.0,0.0,0
2017-09-13,0,0,0,0,0.0,0.0,0
2017-09-18,0,0,0,0,0.0,0.0,0
2017-09-22,0,0,0,0,0.0,0.0,0
2017-09-29,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.166666666667,0.520833333333,0
2017-10-04,0,0,0,0,0.0,0.0,0
2017-10-16,0,0,0,0,0.0,0.0,0
2017-10-17,0,1,0,0,0.5,0.5,0
2017-10-18,0,0,0,0,-0.1,0.4,0
2017-10-19,0,0,0,0,0.1,0.1,0
2017-10-20,0,0,0,0,0.625,0.6,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,1,0,0,0.6,0.9,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-31,0,2,0,0,0.5,1.63333333333,0
2017-11-02,0,0,0,0,-0.5,0.4,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.5,0.5,0
2017-11-07,0,1,0,0,0.0,0.0,0
2017-11-09,0,1,0,0,0.0,0.0,0
2017-11-10,0,1,0,0,1.5,0.9,0
2017-11-12,0,0,1,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0333333333333,0.433333333333,0
2017-11-14,0,3,1,0,0.475,2.13333333333,0
2017-11-15,0,1,0,0,0.607142857143,0.821428571429,0
2017-11-16,0,0,0,0,0.0,0.0,0
