date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-18,0,0,0,0,0.0,0.0,0
2015-11-19,0,0,0,0,0.0,0.0,0
2016-02-03,0,0,0,0,0.16,0.54,0
2016-05-19,0,0,0,0,0.0,0.0,0
2016-05-20,0,0,1,0,0.0,0.0,0
2016-08-25,0,0,0,0,0.0,0.0,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-11-29,0,0,0,0,0.0,0.0,0
2017-01-19,0,0,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0587301587302,0.860317460317,0
2017-06-22,0,0,0,0,0.0,0.0,0
2017-08-24,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.3,0.5,0
2017-10-23,0,0,0,0,0.425,1.15,0
2017-10-25,0,0,0,0,0.4,0.5,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.136363636364,0.521212121212,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,1,0,0,0.25,1.68888888889,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,2,0,0,0.0,1.2375,0
2017-11-14,0,3,1,0,0.05,0.35,0
2017-11-15,0,0,0,0,0.514285714286,2.04285714286,0
2017-11-16,0,0,0,0,0.0,1.06666666667,0
