date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-07,0,0,0,0,-0.0833333333333,0.166666666667,0
2015-12-10,0,0,0,0,0.0454545454545,0.151515151515,0
2015-12-16,0,0,0,0,0.0,0.0,0
2016-02-11,0,0,0,0,-0.1,0.166666666667,0
2016-03-09,0,0,0,0,0.0,0.0,0
2016-03-14,0,0,0,0,0.0666666666667,0.383333333333,0
2016-04-06,0,0,0,0,-0.2,0.3,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-05-09,0,0,0,0,0.0,0.0,0
2016-05-16,0,0,0,0,0.0,0.0,0
2016-05-17,0,0,0,0,0.05,0.5,0
2016-05-20,0,0,0,0,-0.3,0.5,0
2016-06-01,0,0,0,0,0.0,0.0,0
2016-06-02,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.136363636364,0.454545454545,0
2016-08-02,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-15,0,0,3,0,0.0,0.0,0
2016-08-16,0,0,0,0,-0.05,0.1,0
2016-08-23,0,0,1,0,0.0,0.0,0
2016-08-29,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,0.0,0.0,0
2016-09-16,0,0,0,0,0.0,0.0,0
2016-09-28,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-02,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.0,0
2016-11-18,0,0,0,0,0.0,0.0,0
2017-01-11,0,0,0,0,0.0,0.0,0
2017-01-20,0,0,0,0,0.0,0.0,0
2017-02-06,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.136363636364,0.454545454545,0
2017-02-21,0,0,0,0,0.0,0.0,0
2017-02-27,0,0,0,0,0.325,0.725,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-03-08,0,0,0,0,0.0,0.0,0
2017-03-09,0,0,0,0,0.0,0.0,0
2017-03-17,0,0,0,0,0.0,0.0,0
2017-04-19,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-05-19,0,0,0,0,0.0,0.5,0
2017-06-09,0,0,0,0,-0.3,0.5,0
2017-06-12,0,0,0,0,-0.05,0.5,0
2017-06-23,0,0,0,0,0.0,0.0,0
2017-06-27,0,0,0,0,0.0,0.0,0
2017-07-05,0,0,0,0,0.0,0.0,0
2017-07-06,0,0,0,0,-0.4,0.5,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-08-02,0,0,0,0,0.0,0.0,0
2017-08-03,0,1,0,0,0.0,0.0,0
2017-08-04,0,0,0,0,0.0,0.0,0
2017-08-18,0,0,0,0,0.0,0.0,0
2017-09-05,0,0,0,0,0.0,0.0,0
2017-09-14,0,0,0,0,0.0,0.0,0
2017-09-25,0,0,0,0,0.0,0.0,0
2017-10-02,0,1,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,0.0,0.0,0
2017-10-17,0,1,0,0,0.0,0.0,0
2017-10-19,0,0,1,0,0.123579545455,0.401515151515,0
2017-10-20,0,1,0,0,0.233333333333,0.4,0
2017-10-26,0,0,0,0,-0.1,0.3,0
2017-10-30,0,1,0,0,0.546212121212,1.47348484848,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.7,0.6,0
2017-11-06,0,0,0,0,0.0965909090909,0.238636363636,0
2017-11-07,0,0,0,0,0.05,0.5,0
2017-11-08,0,0,0,0,0.214488636364,0.704545454545,0
2017-11-13,0,1,3,0,0.817708333333,3.10555555556,0
2017-11-14,0,1,1,0,0.0,0.0333333333333,0
2017-11-15,0,1,0,0,0.0625,0.166666666667,0
2017-11-16,0,1,1,0,0.0,0.0,0
