date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-30,0,0,0,0,0.0,0.0,0
2015-12-08,0,0,0,0,0.0,0.0,0
2015-12-14,0,0,0,0,0.0,0.0,0
2015-12-17,0,0,0,0,0.0,0.0,0
2015-12-18,0,0,0,0,0.0,0.0,0
2015-12-21,0,0,0,0,0.0,0.0,0
2016-01-28,0,0,0,0,0.0,0.0,0
2016-02-18,0,0,0,0,0.0,0.0,0
2016-03-15,0,0,0,0,0.0,0.0,0
2016-03-21,0,0,0,0,0.0,0.0,0
2016-03-30,0,0,0,0,0.0,0.0,0
2016-04-08,0,0,0,0,0.136363636364,0.454545454545,0
2016-04-12,0,0,0,0,0.0,0.0,0
2016-05-02,0,0,0,0,0.0,0.0,0
2016-05-16,0,0,0,0,0.0,0.0,0
2016-06-08,0,0,0,0,0.0,0.0,0
2016-06-13,0,1,0,0,0.0,0.0,0
2016-07-06,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,3
2016-08-01,0,0,0,0,0.0,0.1,0
2016-08-02,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-11-08,0,0,0,0,0.0,0.0,0
2016-11-09,0,1,0,0,0.0,0.0,0
2016-11-10,0,0,0,0,0.0,0.0,0
2016-12-14,0,0,0,0,0.0,0.0,0
2016-12-16,0,0,0,0,0.0,0.0,0
2016-12-20,0,0,0,0,0.0,0.0,0
2017-01-04,0,1,0,0,0.0,0.0,0
2017-01-11,0,0,0,0,0.136363636364,0.454545454545,0
2017-01-13,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-07,0,1,0,0,0.0,0.0,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-03-23,0,1,0,0,0.0,0.0,0
2017-05-30,0,0,0,0,0.0,0.0,0
2017-06-06,0,1,0,0,0.0,0.0,0
2017-06-07,0,0,0,0,0.0,0.75,0
2017-06-13,0,0,0,0,0.0,0.0,0
2017-08-17,0,0,0,0,0.0,0.0,0
2017-09-11,0,0,0,0,0.0,0.0,0
2017-10-05,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,0.136363636364,0.454545454545,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,-0.1,0.4,0
2017-10-24,0,1,0,0,0.0,0.0,0
2017-10-26,0,1,1,0,-0.166666666667,1.30833333333,0
2017-10-27,0,0,0,0,-0.125,0.375,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.5,1.3,0
2017-11-01,0,2,0,0,-0.15,0.4,0
2017-11-02,0,0,0,0,0.0,1.0,0
2017-11-03,0,0,0,0,-0.1,0.4,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,2,0,0,0.285714285714,1.03571428571,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,1,0,0,0.1,1.58888888889,0
2017-11-09,0,0,0,0,-0.4,0.7,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,-0.24,1.24,0
2017-11-14,0,0,0,0,0.5,0.5,0
2017-11-15,0,2,0,1,-0.2,1.06666666667,0
2017-11-16,0,0,0,0,0.25,0.5,0
