date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-03-09,0,0,0,0,0.0,0.0,0
2016-05-10,0,0,0,0,0.0,0.0,0
2016-06-03,0,0,0,0,0.0,0.416666666667,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-09-28,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-11-09,0,0,0,0,0.0,0.0,0
2016-11-30,0,0,0,0,0.0,0.0,0
2016-12-19,0,0,1,0,0.0,0.0,0
2017-02-27,0,0,0,0,0.0,0.0,0
2017-03-15,0,0,0,0,0.0,0.0,0
2017-03-21,0,0,0,0,0.0,0.0,0
2017-03-30,0,0,0,0,0.0,0.0,0
2017-04-19,0,0,0,0,0.0,0.375,0
2017-04-26,0,0,1,0,0.0,0.0,0
2017-06-27,0,0,0,0,0.0,0.0,0
2017-07-18,0,0,0,0,0.0,0.0,0
2017-09-14,0,0,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,0.184343434343,0.762626262626,0
2017-10-20,0,1,0,0,0.0,0.0,0
2017-10-23,0,1,0,0,0.0,0.0,0
2017-10-24,0,1,0,0,0.0,0.0,0
2017-10-25,0,1,1,0,0.45,1.0375,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-31,0,3,0,0,0.0666666666667,0.1,0
2017-11-01,0,2,0,0,0.0,0.0,0
2017-11-02,0,2,1,0,0.4,0.375,0
2017-11-03,0,0,0,0,0.0,0.05,0
2017-11-06,0,1,0,0,0.136363636364,0.537878787879,0
2017-11-07,0,0,0,0,0.375,0.5,0
2017-11-08,0,1,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.136363636364,0.454545454545,0
2017-11-13,0,4,0,0,0.0,0.0,0
2017-11-14,0,1,0,0,1.84545454545,3.26818181818,0
2017-11-15,0,1,0,0,0.62702020202,1.98914141414,0
2017-11-16,0,0,0,0,0.0,0.0,0
