date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-08-04,0,0,0,0,0.0,0.0,3
2016-08-29,0,0,0,0,0.0,0.0,0
2016-11-03,0,0,0,0,0.0,0.0,4
2016-12-23,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,2
2017-08-02,0,0,0,0,0.0,0.0,0
2017-09-08,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,1.28571428571,1.83571428571,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.5,0.5,0
2017-10-24,0,0,0,0,0.35,1.375,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,-0.1,0.4,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.4375,0.4375,0
2017-11-01,0,0,0,0,0.0,0.0,4
2017-11-02,0,0,0,0,0.743232323232,1.67595959596,0
2017-11-03,0,0,0,0,0.75,1.0,0
2017-11-06,0,0,0,0,0.25,0.5,0
2017-11-07,0,1,0,0,0.0,0.0,0
2017-11-08,0,1,0,0,0.0,0.0,0
2017-11-09,0,2,2,0,0.16,0.54,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.178571428571,0.47619047619,0
2017-11-12,0,0,1,0,-0.24375,1.2,0
2017-11-13,0,0,0,0,0.4,0.85,0
2017-11-14,0,0,0,0,-0.2,0.4,0
2017-11-15,0,0,0,0,-0.5,1.3,0
2017-11-16,0,0,0,0,0.0,0.0,0
