date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2017-10-19,0,0,0,0,-0.27,1.67,0
2017-10-20,0,1,0,0,-0.25,0.5,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.175,1.9,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,-0.09,1.04,0
2017-10-26,0,0,0,0,-0.175,0.45,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,1,0,0,0.0,0.0666666666667,0
2017-10-30,0,0,0,0,-0.4,0.7,0
2017-10-31,0,1,0,0,0.0,0.0,0
2017-11-01,0,0,1,0,-0.322222222222,0.355555555556,0
2017-11-02,0,1,0,0,-0.4,0.8,0
2017-11-05,0,0,0,0,-1.10714285714,1.96428571429,0
2017-11-06,0,0,0,0,-0.25,0.5,0
2017-11-07,0,0,0,0,-0.3,0.85,0
2017-11-08,0,0,0,0,0.812121212121,1.26818181818,0
2017-11-09,0,0,0,0,-0.4,0.7,0
2017-11-10,0,1,0,0,0.85,1.45,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,1,0.2,0.2,0
2017-11-13,0,0,0,0,-0.15,0.8,0
2017-11-14,0,0,0,0,0.0,0.0,0
2017-11-15,0,0,0,0,-0.575,1.9,0
