date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-20,0,0,0,0,0.0,0.0,0
2016-01-07,0,0,0,0,-0.1,0.025,0
2016-01-11,0,0,0,0,0.0,0.0,0
2016-01-28,0,0,0,0,0.15,0.1,0
2016-03-03,0,0,0,0,0.0,0.0,0
2016-03-29,0,0,0,0,0.0,0.0,0
2016-04-06,0,0,0,0,0.4,0.3,0
2016-04-07,0,0,0,0,0.0,0.0,0
2016-05-02,0,0,0,0,0.0,0.0,0
2016-05-12,0,0,0,0,0.0,0.0,0
2016-06-27,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-06-30,0,0,0,0,-0.15,0.25,0
2016-07-06,0,0,0,0,0.0,0.0,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-11,0,0,0,0,-0.0833333333333,0.0833333333333,0
2016-07-15,0,0,0,0,0.0,0.5,0
2016-07-22,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-08-24,0,0,0,0,0.0,0.125,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-09-20,0,0,0,0,0.0,0.0,0
2016-09-22,0,0,0,0,0.0,0.0,0
2016-09-29,0,0,0,0,0.0,0.0,0
2016-10-05,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.25,0
2016-11-01,0,0,0,0,0.0,0.0,0
2016-11-04,0,0,0,0,0.2,0.2,0
2016-11-07,0,0,0,0,0.3,0.2,0
2016-11-30,0,0,0,0,0.1875,0.625,0
2016-12-13,0,0,0,0,0.225,0.45,0
2016-12-14,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.2,0.2,0
2017-01-30,0,0,0,0,0.0,0.0,0
2017-01-31,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-06,0,0,0,0,-0.15,0.5,0
2017-02-07,0,0,0,0,-0.4,1.33333333333,0
2017-02-08,0,0,0,0,0.0,0.0,0
2017-02-14,0,0,0,0,0.0,0.5,0
2017-02-15,0,0,0,0,0.5,0.5,0
2017-02-23,0,0,0,0,0.0,0.0,0
2017-03-10,0,0,0,0,0.0,0.0,0
2017-03-20,0,0,0,0,-0.0714285714286,0.142857142857,0
2017-03-27,0,0,0,0,0.0,0.0,0
2017-04-05,0,0,0,0,0.05,0.0,0
2017-04-06,0,0,0,0,0.0,0.0,0
2017-04-17,0,0,0,0,-0.155555555556,0.288888888889,0
2017-04-24,0,0,0,0,0.0,0.0,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-05-18,0,0,0,0,0.1875,0.625,0
2017-05-22,0,0,0,0,0.0,0.0,0
2017-06-26,0,0,0,0,0.0,0.0,0
2017-08-15,0,1,0,0,-0.3,0.5,0
2017-09-28,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.5,0.5,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-23,0,1,0,0,1.03333333333,1.53333333333,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,-0.0873737373737,0.516161616162,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,-0.4,0.7,0
2017-10-30,0,1,0,0,0.0,0.0,0
2017-10-31,0,0,1,0,0.0,0.0,0
2017-11-01,0,1,1,0,-0.075,0.3,0
2017-11-02,0,1,0,0,0.0,0.4,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.5,0.833333333333,0
2017-11-07,0,0,0,0,0.1,1.2,0
2017-11-08,0,0,0,0,0.0,0.1,0
2017-11-09,0,0,1,0,0.5,0.5,0
2017-11-10,0,0,0,0,0.7,1.1,0
2017-11-13,0,1,0,0,-0.5,1.08333333333,0
2017-11-14,0,0,1,0,0.118181818182,1.55727272727,0
2017-11-15,0,0,0,0,0.383333333333,1.18333333333,0
2017-11-16,0,2,1,0,0.25,0.6,0
