date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-11,0,0,0,0,0.0,0.0,0
2015-12-14,0,0,0,0,0.0,0.0,0
2015-12-22,0,0,0,0,0.0,0.0,0
2015-12-23,0,0,0,0,0.0,0.0,0
2016-01-04,0,0,0,0,0.0,0.0,0
2016-04-22,0,0,0,0,0.0,0.0,0
2016-05-05,0,0,0,0,0.0681818181818,0.227272727273,0
2016-05-12,0,1,0,0,0.0681818181818,0.227272727273,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-24,0,0,0,0,0.0,0.0,0
2016-09-09,0,0,0,0,0.0,0.0,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-11-02,0,0,0,0,0.0,0.0,4
2016-11-10,0,0,0,0,0.0,0.0333333333333,0
2016-12-15,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0,1
2017-04-21,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-08-02,0,0,0,0,0.0,0.0,0
2017-08-22,0,0,0,0,0.0909090909091,0.30303030303,0
2017-10-16,0,0,0,0,-0.0625,0.1875,0
2017-10-18,0,0,0,0,0.4,0.375,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,0,0,0.25,0.375,0
2017-10-24,0,0,0,0,0.3,0.475,0
2017-10-25,0,0,0,0,0.0,0.5,0
2017-10-26,0,0,0,0,0.5,0.65,0
2017-10-27,0,0,0,0,0.3,0.475,0
2017-10-28,0,0,0,0,-0.05,0.2,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.075,0.45,0
2017-11-03,0,0,0,0,0.525,2.0,0
2017-11-04,0,0,1,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.4,0.3,0
2017-11-07,0,1,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,1,0,0,1.15,1.15,0
2017-11-10,0,1,0,0,0.289285714286,0.588095238095,0
2017-11-11,0,0,1,0,0.0681818181818,0.227272727273,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.5,1.0,0
2017-11-14,0,0,0,0,0.0,0.0666666666667,0
2017-11-15,0,1,0,0,0.954545454545,1.43181818182,0
2017-11-16,0,0,0,0,0.6,0.95,0
