date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-21,0,0,0,0,0.0,0.0,0
2016-02-25,0,0,0,0,0.0,0.0,0
2016-03-11,0,0,0,0,-0.3,0.4,0
2016-03-23,0,0,0,0,0.136363636364,0.454545454545,0
2016-06-15,0,0,0,0,0.0,0.0,0
2016-06-23,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-07-12,0,0,0,0,0.6,0.8,0
2016-07-18,0,0,0,0,0.0,0.0,0
2016-09-23,0,0,0,0,0.0,0.0,0
2016-09-26,0,0,0,0,0.0,0.0,0
2016-10-06,0,0,0,0,0.0,0.0,0
2016-10-17,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-11-20,0,1,0,0,0.0,0.0,0
2017-01-13,0,0,0,0,0.0,0.0,0
2017-02-08,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0,0
2017-02-23,0,0,0,0,0.0,0.75,0
2017-02-24,0,0,0,0,0.0,0.0,0
2017-03-15,0,0,0,0,0.0,0.75,0
2017-03-16,0,0,0,0,0.0,0.0,0
2017-03-23,0,0,0,0,0.0,0.0,0
2017-03-29,0,0,0,0,0.0,0.0,0
2017-03-30,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-05-31,0,0,0,0,0.1,0.4,0
2017-06-01,0,0,0,0,0.0,0.0,0
2017-06-26,0,0,0,0,0.136363636364,0.454545454545,0
2017-06-28,0,0,0,0,-0.3,0.5,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-07-18,0,0,0,0,0.0,0.0,0
2017-07-19,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.0,0.375,0
2017-09-26,0,0,0,0,0.0,0.0,0
2017-10-13,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,2.0,1.3,0
2017-10-23,0,0,0,0,0.136363636364,0.454545454545,0
2017-10-24,0,1,0,0,0.433333333333,0.733333333333,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.5,0.5,0
2017-10-27,0,1,1,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,1,1,0,-0.25,2.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.5,0.5,0
2017-11-10,0,0,0,1,0.0,0.1,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0,0.129166666667,0
2017-11-14,0,2,1,3,-0.4,2.84166666667,0
2017-11-15,0,1,1,0,0.6,0.7,0
2017-11-16,0,0,0,0,0.658333333333,1.65,0
