date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-15,0,0,0,0,0.0,0.0,0
2016-06-09,0,0,0,0,0.0,0.0,0
2016-06-14,0,0,0,0,0.0,0.0,0
2016-07-08,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-12-13,0,0,0,0,0.0,0.0,0
2017-01-27,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0,0.0,0
2017-03-20,0,0,0,0,0.0,0.0,0
2017-03-31,0,1,0,0,0.0,0.0,0
2017-04-04,0,0,0,0,0.6,0.9,0
2017-07-28,0,0,0,0,0.0,0.0,0
2017-09-15,0,1,0,0,0.0,0.0,0
2017-09-20,0,0,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.1,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,1,0,0,0.0,0.1,0
2017-11-02,0,0,0,0,0.0722222222222,0.594444444444,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.5,0.9,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.625,1.125,0
2017-11-09,0,1,0,0,0.0,0.0,0
2017-11-10,0,2,1,0,0.5,0.9,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,0,0,0.275,1.0,0
2017-11-14,0,0,2,0,1.83636363636,3.50454545455,0
2017-11-15,0,1,3,1,0.812950937951,3.20772005772,0
2017-11-16,0,1,1,0,0.658863636364,1.99454545455,0
