date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-18,0,0,0,0,0.0,0.0,0
2016-05-11,0,0,0,0,0.0,0.0,2
2016-07-27,0,0,0,0,0.25,0.333333333333,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-11-07,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.0,0.0,0
2017-01-24,0,0,0,0,0.0,0.0,0
2017-02-03,0,0,0,0,0.136363636364,0.454545454545,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-06-28,0,0,0,0,0.0,0.0,0
2017-07-27,0,0,0,0,0.0,0.375,0
2017-08-02,0,0,0,0,0.0,0.0,0
2017-10-23,0,1,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,4
2017-10-26,0,0,1,0,0.433333333333,0.733333333333,0
2017-10-27,0,0,0,0,0.25,0.5,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,1,0,0.7,0.933333333333,0
2017-11-14,0,0,0,1,1.12222222222,3.21944444444,0
2017-11-15,0,1,2,0,0.828571428571,1.09285714286,0
2017-11-16,0,0,0,1,0.25,0.666666666667,0
