date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-12,0,0,0,0,0.0,0.0,0
2016-02-02,0,0,0,0,0.0,0.0,0
2016-05-12,0,0,0,0,0.0,0.0,0
2016-06-09,0,0,0,0,0.4,0.6,0
2016-06-21,0,0,0,0,0.0,0.0,0
2016-08-02,0,0,0,0,0.0,0.0,3
2016-08-09,0,0,0,0,0.0,0.0,0
2016-09-06,0,0,0,0,0.0,0.0,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-11-23,0,0,0,0,0.0,0.0,0
2016-11-29,0,0,0,0,0.0,0.0,0
2016-12-23,0,0,0,0,0.0,0.0,0
2017-01-09,0,0,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0,0.625,0
2017-03-13,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-06-01,0,0,0,0,0.0,0.0,0
2017-06-12,0,0,1,0,0.0,0.0,0
2017-08-31,0,0,0,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,1,0,-0.8,0.9,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,-0.235714285714,0.371428571429,0
2017-10-26,0,0,0,0,0.0,0.4,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.25,0.5,0
2017-11-01,0,0,0,0,0.5,0.833333333333,0
2017-11-06,0,0,0,0,0.0,0.4,4
2017-11-07,0,1,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,1,2,0,-0.283333333333,0.633333333333,0
2017-11-10,0,0,0,0,0.344444444444,1.18888888889,0
2017-11-13,0,0,0,0,0.481481481481,1.9962962963,0
2017-11-14,0,2,0,1,1.37777777778,2.94722222222,0
2017-11-15,0,1,1,0,1.25,1.85,0
2017-11-16,0,1,2,0,-0.0191919191919,0.743434343434,0
