date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-07,0,0,0,0,0.2,0.6,0
2015-12-10,0,0,0,0,0.0,0.0,0
2016-01-11,0,0,0,0,0.0,0.0,0
2016-02-10,0,0,0,0,0.0,0.0,0
2016-02-11,0,0,0,0,0.6,0.8,0
2016-05-17,0,0,0,0,0.136363636364,0.454545454545,0
2016-05-24,0,0,0,0,0.0,0.0,0
2016-06-02,0,0,0,0,0.0,0.0,0
2016-06-10,0,0,0,0,0.0,0.0,0
2016-06-13,0,0,0,0,0.0,1.0,0
2016-06-15,0,0,0,0,0.0,0.0,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,3
2016-08-24,0,0,0,0,0.0,0.0,0
2016-09-07,0,0,0,0,0.0,0.0,0
2016-10-12,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.166666666667,0.958333333333,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-11-01,0,0,0,0,0.0,0.0,0
2016-11-18,0,1,0,0,0.0,0.4,0
2016-11-21,0,0,0,0,0.25,0.333333333333,0
2016-11-29,0,0,0,0,0.0,0.0,0
2016-12-02,0,0,0,0,0.0,0.0,0
2016-12-06,0,0,0,0,0.0,0.0,0
2016-12-19,0,0,0,0,0.0,0.0,0
2017-01-09,0,0,0,0,0.0,0.0,0
2017-01-12,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.375,0.875,0
2017-01-27,0,0,0,0,0.227272727273,0.545454545455,0
2017-02-10,0,0,0,0,-0.125,0.125,0
2017-02-17,0,0,0,0,0.227272727273,0.545454545455,0
2017-02-22,0,0,0,0,0.0,0.0,0
2017-03-01,0,0,0,0,0.0,0.0,0
2017-03-13,0,0,0,0,0.0,0.0,0
2017-03-15,0,0,0,0,0.0,0.0,0
2017-03-20,0,0,0,0,0.0,0.0,0
2017-04-13,0,0,0,0,0.6,0.8,0
2017-05-22,0,0,0,0,0.227272727273,0.545454545455,0
2017-06-01,0,0,0,0,0.1,0.4,0
2017-06-06,0,0,0,0,0.1,0.1,0
2017-06-14,0,0,0,0,0.0,0.0,0
2017-07-06,0,0,0,0,0.0,0.1,0
2017-08-10,0,0,0,0,0.0,0.0,0
2017-09-01,0,0,0,0,0.0,0.0,0
2017-09-07,0,0,0,0,0.0,0.0,0
2017-09-11,0,0,0,0,0.0,0.0,0
2017-09-19,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,1,0,-0.05,0.95,0
2017-10-23,0,0,0,0,0.8,0.75,0
2017-10-25,0,0,0,0,-0.108333333333,0.15,0
2017-10-26,0,0,0,0,0.0929563492063,1.09990079365,0
2017-10-27,0,0,0,0,0.360606060606,1.44545454545,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,1,0,0,0.5,0.888888888889,0
2017-10-30,0,0,0,0,0.0,0.4,0
2017-10-31,0,0,0,0,-0.05,2.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.125,1.4,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.5,0.5,0
2017-11-10,0,1,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.25,0.5,0
2017-11-13,0,1,0,0,-0.15,1.0,0
2017-11-14,0,3,0,0,0.6,1.8,0
2017-11-15,0,0,0,0,1.125,1.325,0
2017-11-16,0,0,0,0,-0.7,0.766666666667,0
