date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-11-14,0,0,0,0,0.0,0.0,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.1,0
2017-10-20,0,1,0,0,0.5,0.9,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.25,0.5,0
2017-10-24,0,0,0,0,0.45,0.15,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.25,0.25,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.5,1.3,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,1.4,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,-0.15,0.3,0
2017-11-10,0,0,0,0,0.285714285714,0.535714285714,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.245454545455,0.718181818182,0
2017-11-13,0,1,0,0,0.0555555555556,0.969444444444,0
2017-11-14,0,0,1,0,0.7,0.6,0
2017-11-15,0,1,1,0,0.444848484848,1.98393939394,0
2017-11-16,0,0,0,0,0.0,0.125,0
