date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-23,0,0,0,0,0.0,0.0,0
2016-01-28,0,0,0,0,0.0,0.0,0
2016-04-25,0,0,0,0,0.0,0.0,0
2016-05-23,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-11-02,0,0,0,0,0.0,0.0,0
2016-11-07,0,0,0,0,0.0,0.0,0
2016-11-10,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0,0
2017-03-31,0,0,0,0,0.0,0.75,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,1,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,1,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.808333333333,2.04166666667,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,1,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.5,0.5,0
2017-11-08,0,1,1,0,-0.05,0.4,0
2017-11-09,0,0,0,0,0.0,0.6,0
2017-11-10,0,2,0,0,0.0,0.25,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,-0.45,1.6,0
2017-11-14,0,0,0,0,0.25,0.75,0
2017-11-15,0,0,0,0,0.45,1.5,0
2017-11-16,0,0,0,0,0.0,0.1,0
