date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-02-02,0,0,0,0,0.0,0.0,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-08-16,0,0,0,0,0.0,1.0,0
2016-08-23,0,0,0,0,0.0,0.0,0
2016-11-03,0,0,0,0,0.0,0.3,0
2016-11-08,0,0,0,0,0.0,0.5,0
2017-02-07,0,0,0,0,0.0,0.0,0
2017-03-22,0,0,0,0,0.0,0.75,0
2017-03-28,0,0,0,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.0,0.0,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,1.0,0
2017-08-03,0,0,0,0,0.0,0.0,0
2017-08-22,0,0,0,0,0.0,0.0,0
2017-09-20,0,0,0,0,0.0,0.625,0
2017-10-18,0,0,0,0,-0.5,0.5,0
2017-10-20,0,1,0,0,0.0,0.0,0
2017-10-21,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-23,0,1,1,0,-0.15,0.4,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,-0.15,0.4,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-28,0,1,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.8,0.5,0
2017-11-01,0,0,0,0,0.25,0.926923076923,0
2017-11-02,0,0,0,0,0.325,0.9,0
2017-11-03,0,0,0,0,0.5,0.5,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.25,1.38,0
2017-11-08,0,0,0,0,0.5,0.5,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,1,0,0.136363636364,0.454545454545,0
2017-11-11,0,0,0,0,0.245454545455,0.718181818182,0
2017-11-13,0,1,0,0,-0.15,2.3,0
2017-11-14,0,0,0,0,0.0666666666667,1.58,0
2017-11-15,0,1,0,0,0.6,1.23333333333,0
2017-11-16,0,0,0,0,0.0,0.0,0
