date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-03,0,0,0,0,0.0,0.0,0
2016-02-11,0,0,0,0,0.0,0.0,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-08-31,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-12-08,0,0,0,0,0.0,0.0,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-07-19,0,0,0,0,0.0,0.0,0
2017-08-31,0,0,0,0,0.0,0.0,0
2017-09-01,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,-0.4,0.7,0
2017-10-23,0,0,0,0,-0.1,0.4,0
2017-10-25,0,0,0,0,0.5,0.9,0
2017-10-26,0,0,0,0,0.0,0.6,0
2017-10-27,0,1,1,0,-0.15,0.4,0
2017-10-30,0,1,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,-0.4,0.7,0
2017-11-01,0,1,0,0,0.136363636364,0.454545454545,0
2017-11-02,0,1,2,1,0.16,0.64,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0181481481481,0.442962962963,0
2017-11-08,0,1,0,0,0.813636363636,2.03522727273,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.05,0.5,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0,0.0,0
2017-11-14,0,0,0,0,1.41428571429,2.4,0
2017-11-15,0,1,0,0,-0.383333333333,1.6,0
2017-11-16,0,0,0,0,0.0,0.0,0
