date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,0,0,0.0,0.0,0
2017-10-23,0,1,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-26,0,1,0,0,-0.275,0.925,0
2017-10-27,0,0,0,0,0.25,0.5,0
2017-10-30,0,1,1,0,0.0,0.1,0
2017-10-31,0,0,0,0,0.25,0.5,0
2017-11-01,0,1,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.5,0
2017-11-03,0,0,0,0,-0.447222222222,0.830555555556,0
2017-11-04,0,0,1,0,0.0,0.0,0
2017-11-06,0,0,0,0,-0.05,1.43333333333,0
2017-11-08,0,0,0,0,-0.45,0.5,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.5,0.9,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,0,0,0.35,1.0,0
2017-11-14,0,1,0,0,0.157575757576,0.336363636364,0
2017-11-15,0,1,1,0,0.342045454545,2.39431818182,0
2017-11-16,0,0,0,0,0.0,0.0,0
