date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-20,0,0,0,0,0.0681818181818,0.227272727273,0
2015-12-08,0,0,0,0,0.0,0.0,0
2015-12-10,0,0,0,0,0.0,0.0,0
2016-02-02,0,0,0,0,0.0,0.0,0
2016-03-23,0,0,0,0,0.0,0.0,0
2016-05-11,0,0,0,0,0.178571428571,0.785714285714,0
2016-07-21,0,0,0,0,0.065,0.195,0
2016-07-22,0,0,0,0,0.268181818182,0.627272727273,0
2016-07-28,0,0,0,0,0.0454545454545,0.318181818182,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.25,0
2016-12-07,0,0,0,0,0.0,0.0,0
2016-12-12,0,0,0,0,0.0,0.25,0
2017-01-10,0,0,0,0,0.0,0.0,0
2017-01-19,0,0,0,0,0.136363636364,0.454545454545,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0,0.0,0
2017-02-14,0,0,0,0,0.0,0.25,0
2017-03-03,0,0,0,0,0.0,0.5,0
2017-03-30,0,0,0,0,0.0,0.375,0
2017-05-26,0,0,0,0,0.0,0.0,0
2017-07-25,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.2,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,-0.3,0.378571428571,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.5,0.5,0
2017-10-25,0,0,0,1,-0.0777777777778,0.269444444444,0
2017-10-26,0,0,0,0,-0.65,0.95,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0681818181818,0.227272727273,0
2017-10-30,0,0,1,0,0.35,0.8,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,-0.15,0.5,0
2017-11-03,0,0,0,0,0.0,0.5,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,-0.2,0.35,0
2017-11-06,0,0,0,0,0.178787878788,0.284848484848,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-10,0,1,1,0,0.3,1.65,0
2017-11-12,0,0,0,0,0.0681818181818,0.227272727273,0
2017-11-13,0,2,1,0,-0.0895833333333,0.69375,0
2017-11-14,0,2,0,0,-0.0375,0.9,0
2017-11-15,0,1,0,0,0.14375,0.577083333333,0
