date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-21,0,0,0,0,0.0,0.0,0
2016-01-26,0,0,0,0,0.0,0.0,0
2016-02-04,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-12-08,0,0,0,0,-0.155555555556,0.288888888889,0
2017-01-19,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-02-13,0,0,0,0,0.0,0.0,0
2017-03-01,0,0,0,0,0.0,1.0,0
2017-07-28,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-18,0,0,0,0,-0.1,0.4,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,0,0,0.0,0.1,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.55625,1.275,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.625,1.08333333333,0
2017-10-28,0,0,0,0,0.0,1.0,0
2017-10-30,0,1,1,0,0.214285714286,0.321428571429,0
2017-10-31,0,1,2,0,0.50625,1.5,0
2017-11-01,0,1,0,0,-0.155555555556,0.338888888889,0
2017-11-02,0,2,0,0,-0.15,0.4,0
2017-11-03,0,0,0,0,0.172222222222,0.794444444444,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.314285714286,0.571428571429,0
2017-11-08,0,0,0,0,0.0,0.1,0
2017-11-09,0,0,0,0,0.6,0.9,0
2017-11-10,0,0,0,0,0.0,0.1,0
2017-11-12,0,0,0,0,-0.4,0.7,0
2017-11-13,0,0,0,0,0.5,0.5,0
2017-11-14,0,1,1,0,-0.59,1.29,0
2017-11-15,0,1,1,0,0.466666666667,1.4,0
2017-11-16,0,1,0,0,-0.133333333333,0.6,0
