date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-25,0,0,0,0,0.0,0.0,0
2016-01-26,0,0,0,0,0.0,0.0,0
2016-01-28,0,0,0,0,0.0,0.0,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-06-09,0,0,0,0,0.0,0.0,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-08-16,0,0,0,0,0.0,0.0,0
2016-08-30,0,0,0,0,0.0,0.0,0
2016-10-18,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-04,0,0,0,0,0.0,0.0,0
2016-11-07,0,0,0,0,0.136363636364,0.454545454545,0
2016-11-09,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.0,0
2016-11-18,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-14,0,0,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0,0.0,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.625,0
2017-06-13,0,0,0,0,0.0,0.0,0
2017-06-30,0,0,0,0,0.0,0.0,0
2017-07-25,0,0,0,0,0.0,0.0,0
2017-08-15,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.136363636364,0.454545454545,0
2017-09-19,0,0,0,0,0.0,0.0,0
2017-10-11,0,0,0,0,0.0,0.0,0
2017-10-16,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.25,0.5,0
2017-10-25,0,0,0,0,0.05,1.9,0
2017-10-26,0,0,0,0,-0.15,0.4,0
2017-10-27,0,1,0,0,0.0,0.0,0
2017-10-30,0,1,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.4,0.9,0
2017-11-02,0,0,0,0,-0.1,0.1,0
2017-11-05,0,0,0,0,0.15625,0.5,0
2017-11-06,0,2,1,0,-0.55,1.55,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,1,0,0,1.18333333333,1.88333333333,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.15625,0.5,0
2017-11-13,0,0,0,0,1.75,2.48333333333,0
2017-11-14,0,0,1,0,0.0,1.65,0
2017-11-15,0,0,0,0,-0.025,0.875,0
2017-11-16,0,0,0,0,0.1,0.1,0
