date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-05,0,0,0,0,0.0,0.0,0
2016-02-02,0,0,0,0,0.0,0.0,0
2016-02-22,0,0,0,0,0.0,0.0666666666667,0
2016-03-10,0,0,0,0,0.8,0.4,0
2016-07-05,0,0,0,0,0.0,0.0,0
2016-07-29,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-10-28,0,0,0,0,0.0,0.0,0
2016-12-30,0,0,0,0,0.0,0.0,0
2017-02-24,0,0,0,0,0.0,0.0,0
2017-03-21,0,0,0,0,0.0,0.75,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-07-28,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.25,0
2017-10-19,0,1,0,0,-0.5,0.5,0
2017-10-20,0,0,0,0,0.0,0.1,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.05,0.25,0
2017-10-24,0,0,0,0,-0.133333333333,0.6,0
2017-10-25,0,1,0,0,0.5,1.0,0
2017-10-26,0,0,0,0,0.5,0.5,0
2017-10-27,0,0,0,0,0.25,0.375,0
2017-10-30,0,0,0,0,0.25,0.5,0
2017-10-31,0,0,0,0,0.5,1.3,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.204545454545,1.06098484848,0
2017-11-06,0,1,1,0,0.0,0.4,0
2017-11-07,0,1,0,0,0.5,0.833333333333,0
2017-11-08,0,0,0,0,0.25,0.6,0
2017-11-09,0,0,0,0,0.727272727273,1.04545454545,0
2017-11-10,0,0,0,0,0.85,1.45,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.594444444444,1.73888888889,0
2017-11-14,0,0,0,0,0.72619047619,0.980952380952,0
2017-11-15,0,0,0,0,2.44761904762,2.22142857143,0
2017-11-16,0,0,0,0,0.116666666667,0.933333333333,0
