date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-26,0,0,0,0,0.0,0.0,0
2016-02-18,0,0,0,0,0.0,0.0,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-05-18,0,0,0,0,0.0,0.0,0
2016-06-09,0,0,0,0,0.0,0.0,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-08-01,0,0,0,0,0.0,0.0,0
2016-08-09,0,0,0,0,0.113636363636,0.422727272727,0
2016-08-22,0,0,0,0,0.0,0.0,0
2016-09-30,0,0,0,0,0.0,0.75,0
2016-11-01,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.0,0
2016-11-15,0,0,0,0,0.0,0.0,0
2017-01-04,0,0,0,0,-0.4,0.5,0
2017-01-31,0,0,0,0,0.563333333333,0.953333333333,0
2017-02-13,0,0,0,0,0.0,0.0,0
2017-02-17,0,0,0,0,0.0,0.0,0
2017-04-06,0,0,0,0,0.0,0.0,0
2017-05-19,0,0,0,0,0.0,0.0,0
2017-05-26,0,0,0,0,0.0,0.0,0
2017-05-31,0,0,0,0,0.0,0.0,0
2017-06-06,0,0,0,0,0.0,0.0,0
2017-06-23,0,1,0,0,0.0,0.0,0
2017-08-15,0,0,0,0,0.0555555555556,0.277777777778,0
2017-10-09,0,0,0,0,0.0,0.0,0
2017-10-11,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.25,0.633333333333,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,1.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,1,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.25,0.533333333333,0
2017-11-08,0,0,0,0,1.17222222222,1.64444444444,0
2017-11-09,0,0,0,0,0.65,2.25,0
2017-11-10,0,1,0,0,0.144444444444,0.388888888889,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.16,0.54,0
2017-11-14,0,0,0,1,0.75,1.88333333333,0
2017-11-15,0,0,0,0,0.55,0.95,0
2017-11-16,0,0,1,0,0.893939393939,1.99090909091,0
2017-11-17,0,1,0,0,-0.65,2.5,0
2017-11-18,0,1,0,0,0.75,2.45,0
