date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-10,0,0,0,0,0.0,0.0,0
2015-12-23,0,0,0,0,0.0,0.0,0
2015-12-31,0,0,0,0,0.0,0.0,0
2016-02-04,0,0,0,0,0.0,0.0,0
2016-02-18,0,0,0,0,0.0,0.0,0
2016-05-10,0,0,0,0,0.0,0.0,0
2016-06-01,0,0,0,0,0.0,0.0,0
2016-07-13,0,0,1,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-07-22,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-09-07,0,0,0,0,0.0,0.0,0
2016-09-22,0,0,0,0,0.0,0.0,0
2016-10-06,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,-0.3,0.4,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-11-10,0,0,0,0,0.0,0.0,0
2017-01-31,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.125,0
2017-02-08,0,0,0,0,0.0,0.0,0
2017-02-22,0,0,0,0,0.0,0.0,0
2017-03-29,0,2,1,0,0.0,0.2,0
2017-03-30,0,0,0,0,0.0,0.0,0
2017-04-07,0,0,0,0,0.0,1.0,0
2017-04-11,0,0,0,0,0.3,0.2,0
2017-04-13,0,0,1,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.0,0.0,0
2017-05-18,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-12,0,0,0,0,0.0,0.0,0
2017-07-27,0,0,0,0,0.433333333333,0.733333333333,0
2017-08-14,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-10-06,0,0,0,0,0.0,0.625,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.285,0.79,0
2017-10-23,0,0,0,0,-0.255555555556,1.21111111111,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.6,1.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,-0.525,0.7,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.2,0.1,0
2017-11-08,0,0,0,0,0.833333333333,1.76666666667,0
2017-11-09,0,0,0,0,-0.05,0.4,0
2017-11-10,0,1,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0,0.0,0
2017-11-14,0,2,2,0,0.25,1.71666666667,0
2017-11-15,0,0,0,0,-0.355555555556,2.23888888889,0
2017-11-16,0,0,0,0,-0.7,1.4,0
