date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-22,0,0,0,0,0.0,0.0,0
2016-01-27,0,0,0,0,0.136363636364,0.454545454545,0
2016-02-04,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-08-01,0,0,0,0,0.0,0.0,0
2016-08-16,0,0,0,0,0.0,0.0,0
2016-09-01,0,0,0,0,0.0,0.0,0
2016-09-27,0,0,0,0,0.0,0.0,0
2016-10-05,0,0,0,0,0.0,1.0,0
2016-10-06,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-17,0,0,0,0,0.7,0.6,0
2016-10-28,0,0,0,0,0.136363636364,0.454545454545,0
2016-11-09,0,0,0,0,0.25,0.333333333333,0
2016-12-09,0,0,0,0,0.25,0.333333333333,0
2017-01-10,0,0,0,0,0.0,0.0,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-04-03,0,0,0,0,0.0,0.0,0
2017-08-22,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.125,0.166666666667,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-08,0,1,1,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.225,0.708333333333,0
2017-11-10,0,0,0,0,0.25,0.5,0
2017-11-12,0,0,1,0,0.433333333333,0.733333333333,0
2017-11-13,0,1,2,0,0.433333333333,1.1,0
2017-11-14,0,2,0,0,0.93125,2.91388888889,0
2017-11-15,0,1,0,0,0.55,2.44166666667,0
2017-11-16,0,0,0,0,0.0333333333333,1.2,0
