date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-12,0,0,0,0,0.0,0.0,0
2015-11-19,0,0,0,0,0.0,0.0,0
2015-11-24,0,0,0,0,0.0,0.0,0
2016-03-23,0,0,0,0,0.0,0.0,0
2016-05-20,0,0,0,0,0.0,0.0,0
2016-06-22,0,0,0,0,0.0,0.0769230769231,0
2016-07-05,0,0,0,0,0.0,0.0,0
2016-07-20,0,0,0,0,0.0,0.0,0
2016-09-01,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,0,0.0,0.0769230769231,0
2016-11-22,0,0,0,0,0.0,0.0,0
2016-12-12,0,0,0,0,0.214285714286,0.571428571429,0
2017-02-17,0,0,0,0,0.0,0.0,0
2017-03-22,0,0,0,0,0.0,0.0,0
2017-05-19,0,0,0,0,0.0,0.0,0
2017-05-24,0,0,0,0,0.0,0.0,0
2017-07-06,0,0,0,0,0.0,0.0,0
2017-07-10,0,0,0,0,0.0,1.0,0
2017-07-19,0,0,0,0,0.0,0.0,0
2017-08-31,0,0,0,0,0.375,0.875,0
2017-09-27,0,0,0,0,0.0,0.0,0
2017-10-06,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,0,0,-0.155555555556,0.288888888889,0
2017-10-24,0,0,0,0,-0.05,0.4,0
2017-10-25,0,1,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.025,0.65,0
2017-10-27,0,0,0,0,0.5,0.5,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,-0.3,0.4,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.214285714286,0.321428571429,0
2017-11-03,0,0,0,0,0.45,0.15,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,1,1,0,0.05,0.5,0
2017-11-07,0,0,0,0,0.65,1.03333333333,0
2017-11-09,0,1,1,0,0.55,1.28333333333,0
2017-11-10,0,0,0,0,-0.15,0.4,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0,0.1,0
2017-11-14,0,0,1,0,-0.24,1.24,0
2017-11-15,0,0,1,0,0.259090909091,1.26363636364,0
2017-11-16,0,0,0,0,0.1,0.3,0
