date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-05-19,0,0,0,0,0.0,0.0,0
2016-08-02,0,0,0,0,0.0,0.0,0
2016-08-15,0,1,0,0,0.0,0.0666666666667,0
2016-10-04,0,0,0,0,0.0,0.0,0
2016-11-08,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.0,0.0,0
2016-12-13,0,0,0,0,0.0,0.0,0
2017-01-13,0,0,1,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0,0
2017-04-13,0,0,0,0,0.0,0.0,0
2017-08-02,0,0,0,0,0.0,0.0,0
2017-09-13,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-26,0,1,1,0,-0.5,0.566666666667,0
2017-10-27,0,0,0,0,0.5,0.916666666667,0
2017-10-30,0,0,0,0,0.5,1.0,0
2017-10-31,0,0,0,0,0.3,0.5,0
2017-11-02,0,0,0,0,0.0,0.5,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-06,0,1,1,0,1.14444444444,1.85555555556,0
2017-11-07,0,0,0,0,0.8625,1.77222222222,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.0,0.55,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,1,0,0,0.15625,0.5,0
2017-11-13,0,0,0,0,0.583333333333,1.13333333333,0
2017-11-14,0,1,0,0,0.55,1.53333333333,0
2017-11-15,0,0,0,1,1.10416666667,1.75555555556,0
2017-11-16,0,1,0,0,0.625,0.725,0
