date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-18,0,0,0,0,0.0,0.0,0
2015-12-14,0,0,0,0,0.0,0.0,0
2016-02-03,0,0,0,0,0.0,0.0,0
2016-05-16,0,0,0,0,-0.0833333333333,0.0833333333333,0
2016-05-26,0,0,0,0,0.0,0.0,0
2016-06-02,0,0,0,0,0.0,2.0,0
2016-06-03,0,0,0,0,0.0,1.0,0
2016-06-07,0,0,0,0,0.136363636364,0.454545454545,0
2016-06-20,0,0,0,0,0.0,0.0,0
2016-07-05,0,0,0,0,0.0,0.0,0
2016-07-07,0,0,0,0,0.136363636364,0.454545454545,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-07-29,0,0,0,0,0.0,0.0,0
2016-08-02,0,0,0,1,0.0,0.0,0
2016-08-08,0,0,0,0,-0.25,0.75,0
2016-08-09,0,0,0,0,0.1,0.4,0
2016-08-15,0,0,0,0,0.0,0.0,0
2016-08-31,0,0,0,0,0.0,0.1875,0
2016-09-02,0,0,0,0,0.0,0.0,0
2016-09-07,0,0,0,0,0.0,0.0,0
2016-09-20,0,0,0,0,0.136363636364,0.454545454545,0
2016-09-21,0,0,0,0,0.0,0.0,0
2016-10-04,0,0,0,0,0.0,0.0,0
2016-10-06,0,0,0,0,0.0,0.0,0
2016-10-07,0,0,0,0,0.0,0.0,0
2016-10-13,0,0,0,0,0.633333333333,0.933333333333,0
2016-10-28,0,0,0,0,0.0,0.0,0
2016-11-02,0,0,0,1,0.4,0.45,0
2016-11-14,0,0,0,0,0.0,0.0,0
2016-11-15,0,0,0,0,-0.8,1.0,0
2016-12-02,0,0,0,0,0.0,0.0,0
2016-12-15,0,0,0,1,0.0,0.0,0
2016-12-19,0,0,0,0,0.0,0.0,0
2016-12-21,0,0,0,0,0.0,1.0,0
2016-12-27,0,0,0,0,0.0,0.0,0
2017-01-04,0,0,0,1,0.0,0.0,0
2017-01-12,0,0,0,0,0.0,0.0,0
2017-01-30,0,0,0,0,-0.3,0.4,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.0,0.0,0
2017-02-13,0,0,0,0,0.5,0.5,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0,0
2017-02-23,0,0,0,0,0.5,1.0,0
2017-03-02,0,0,0,0,0.0,0.75,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-03-13,0,0,0,0,0.0,0.0,0
2017-03-20,0,0,0,0,0.0,0.0,0
2017-03-23,0,0,0,0,0.0909090909091,0.30303030303,0
2017-03-29,0,0,0,0,0.0,0.0,0
2017-03-30,0,0,0,0,-0.3,0.5,0
2017-04-04,0,0,0,0,0.0,0.75,0
2017-04-12,0,0,0,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.0,0.0,0
2017-05-24,0,0,0,0,0.0,0.0,0
2017-06-02,0,0,0,0,0.0,0.0,0
2017-06-21,0,0,0,0,0.5,0.5,0
2017-06-23,0,0,0,0,0.0,0.0,0
2017-07-05,0,0,0,0,-0.1125,0.3875,0
2017-07-06,0,0,0,0,0.136363636364,0.454545454545,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-07-18,0,0,0,0,0.0,0.5,0
2017-07-19,0,0,0,0,0.0,0.0,0
2017-07-27,0,0,0,0,0.0,0.0,0
2017-08-07,0,0,0,0,0.136363636364,0.454545454545,0
2017-08-09,0,0,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.0,0.0,0
2017-09-05,0,0,0,0,0.0,0.0,0
2017-09-06,0,0,0,0,0.136363636364,0.454545454545,0
2017-09-07,0,0,0,0,0.0454545454545,0.184848484848,0
2017-09-11,0,0,0,0,0.0,0.0,0
2017-09-15,0,0,0,0,0.0681818181818,0.427272727273,0
2017-09-27,0,0,0,0,0.4,0.8,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-11,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.23125,0.35,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.0,0.1,0
2017-10-23,0,0,0,0,0.2,0.1,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.7,0.6,0
2017-10-27,0,0,0,0,0.0,0.1,0
2017-10-28,0,1,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.45,1.4,0
2017-11-06,0,0,0,0,0.3,0.5,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,-0.2,0.2,0
2017-11-09,0,0,0,0,0.1,0.2,0
2017-11-10,0,0,0,0,0.6,0.8,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,0,0,0.559722222222,1.74861111111,0
2017-11-14,0,0,0,1,0.766666666667,2.4,0
2017-11-15,0,1,0,0,-0.75,0.75,0
2017-11-16,0,0,0,0,0.4,0.8,0
