date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-14,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-08-15,0,0,0,0,0.0,0.0,0
2016-08-22,0,0,0,0,0.0,0.0,0
2016-10-17,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-12-15,0,0,0,0,0.0,0.0,0
2017-01-24,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0,0
2017-03-15,0,0,0,0,0.0,0.375,0
2017-04-17,0,0,0,0,0.0,0.0,0
2017-05-24,0,0,0,0,0.0,0.0,0
2017-06-14,0,0,0,0,0.0,0.0,0
2017-06-27,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-08-30,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,0.25,0.25,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.125,0.166666666667,0
2017-10-23,0,0,0,0,-0.1,0.15,0
2017-10-24,0,0,0,0,0.3,1.0,0
2017-10-25,0,1,0,0,0.5,0.5,0
2017-10-26,0,1,1,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-31,0,1,0,0,0.0,0.0,0
2017-11-01,0,0,1,0,0.483333333333,0.870833333333,0
2017-11-02,0,0,0,0,0.0,0.266666666667,0
2017-11-06,0,0,0,0,0.625,1.06666666667,0
2017-11-07,0,1,1,0,0.3,0.25,0
2017-11-08,0,0,0,0,0.15,0.2,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,1,0,0.104166666667,0.333333333333,0
2017-11-13,0,0,0,0,-0.375,0.925,0
2017-11-14,0,0,0,1,0.08,0.32,0
2017-11-15,0,3,1,1,0.13,1.07,0
2017-11-16,0,0,0,0,0.45,0.316666666667,0
