date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-08,0,0,0,0,0.0,0.0,0
2015-12-16,0,0,0,0,0.0,0.0,0
2016-01-26,0,0,0,0,0.0,0.0,0
2016-04-21,0,0,0,0,0.0,0.0,0
2016-05-13,0,0,0,0,0.0,0.0,0
2016-06-01,0,0,0,0,0.0,0.0,0
2016-06-06,0,0,0,0,0.0,0.375,0
2016-06-09,0,0,0,0,0.0,0.0,0
2016-06-21,0,0,0,0,0.5,0.5,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-09-06,0,0,0,0,-0.35,0.5,0
2016-10-20,0,0,0,0,0.0,0.0,0
2016-10-24,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.136363636364,0.454545454545,0
2016-12-15,0,0,0,0,0.0,0.0,0
2017-01-31,0,0,0,0,0.0,0.0,0
2017-03-06,0,1,0,0,0.0,0.0,0
2017-06-30,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,4
2017-10-21,0,1,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.5,0.833333333333,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-27,0,2,0,0,0.0,0.0,0
2017-10-30,0,2,0,0,-0.2,0.4,0
2017-10-31,0,0,0,0,1.04285714286,1.14285714286,0
2017-11-01,0,2,0,0,0.4,1.0,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-07,0,1,0,0,0.0,0.25,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.9,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-12,0,1,0,0,0.0,0.0,0
2017-11-13,0,2,0,0,0.2,2.96666666667,0
2017-11-14,0,1,0,0,0.0,0.0,0
2017-11-15,0,1,0,1,-0.7,2.4,0
2017-11-16,0,0,0,0,0.0,0.0769230769231,0
