date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-10,0,0,0,0,0.0,0.0,0
2016-01-08,0,0,0,0,0.0,0.0,0
2016-05-26,0,0,0,0,0.0,0.0,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-08-25,0,0,0,0,0.0,0.0,0
2016-08-31,0,0,0,0,0.0,0.0,0
2016-11-22,0,0,0,0,-0.1,0.4,0
2017-01-05,0,0,0,0,0.0,0.0,0
2017-03-01,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.0,0.0,0
2017-08-24,0,0,0,0,0.0,0.2,0
2017-09-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,1,1,0,-0.15,0.4,0
2017-10-20,0,0,0,0,0.05,0.5,0
2017-10-23,0,0,0,0,-0.5,0.5,0
2017-10-24,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-25,0,0,0,0,0.4,0.925,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.1,0.1,0
2017-11-04,0,1,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,1,1,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,1,0,0,-0.0555555555556,0.688888888889,0
2017-11-10,0,1,0,0,0.6,1.58333333333,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.55,1.5,0
2017-11-14,0,2,1,0,0.86,1.49,0
2017-11-15,0,0,0,0,0.32,1.88,0
2017-11-16,0,2,2,0,0.25,1.15,0
