date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-15,0,0,0,0,0.0,0.0,0
2016-01-26,0,0,0,0,0.0,0.0,0
2016-02-11,0,0,0,0,0.0,0.0769230769231,0
2016-04-21,0,0,0,0,0.0,0.0,0
2016-05-05,0,0,0,0,0.0,0.0769230769231,0
2016-06-09,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,-0.155555555556,0.288888888889,0
2016-08-05,0,0,0,0,0.0,0.0,0
2016-09-20,0,0,0,0,0.0,0.0,0
2016-10-03,0,0,1,0,0.0,0.0,0
2016-10-10,0,0,0,0,0.0,0.0,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-24,0,0,0,0,0.0,0.0,0
2016-11-01,0,0,0,0,0.0,0.0,0
2016-12-12,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.0,0.0769230769231,0
2017-03-03,0,0,0,0,0.0,1.0,0
2017-04-05,0,0,0,0,0.0,0.0,0
2017-04-24,0,0,0,0,0.0,0.0,0
2017-08-04,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.75,0
2017-10-17,0,1,1,0,0.0,0.0,0
2017-10-18,0,1,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,1.0,0
2017-10-20,0,2,1,0,0.0,0.4,0
2017-10-23,0,0,1,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.25,0.25,0
2017-10-26,0,1,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.0,0.0666666666667,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-02,0,1,1,0,0.408333333333,0.858333333333,0
2017-11-03,0,1,0,0,0.0,0.0,0
2017-11-04,0,0,1,0,0.0,0.125,0
2017-11-05,0,0,0,0,-0.15,0.25,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,1,1,0,0.311111111111,0.527777777778,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,1,0,0,0.0,0.0666666666667,0
2017-11-10,0,0,0,0,-0.2,0.683333333333,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,1,0,0,0.15625,0.5,0
2017-11-13,0,1,0,0,0.4,0.9,0
2017-11-14,0,1,0,0,0.966666666667,1.65,0
2017-11-15,0,1,1,0,0.15625,0.5,0
2017-11-16,0,0,0,0,0.0,0.0,0
