date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-18,0,0,0,0,0.0,0.0,0
2016-02-11,0,0,0,0,0.0,0.0,0
2016-02-17,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-11-22,0,0,0,0,0.0,0.0,0
2016-12-12,0,0,0,0,0.0,0.0,0
2016-12-14,0,0,0,0,0.0,0.0,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-02-14,0,0,0,0,0.35,0.55,0
2017-03-14,0,0,0,0,0.0,0.0,0
2017-03-17,0,0,0,0,0.136363636364,0.454545454545,0
2017-03-28,0,0,0,0,0.05,0.575,0
2017-05-19,0,0,0,0,-0.0125,0.1875,0
2017-06-05,0,0,0,0,0.1,0.525,0
2017-06-15,0,0,0,0,0.0,0.0,0
2017-06-22,0,0,0,0,0.0,0.0,0
2017-07-27,0,0,0,0,0.0,0.0,0
2017-09-20,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,-0.3,0.95,0
2017-10-18,0,0,0,0,-0.1,0.4,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.25,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,1,0,0,0.0,0.25,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.222222222222,2.74444444444,0
2017-10-26,0,0,0,0,0.225,2.425,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.118181818182,0.402272727273,0
2017-11-01,0,0,0,0,1.16666666667,1.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.1,0
2017-11-04,0,0,0,0,0.0,0.1,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.245454545455,0.818181818182,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,1.5,0.8,0
2017-11-10,0,0,0,0,0.5,0.5,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.375,0.875,0
2017-11-14,0,1,0,0,0.366666666667,1.5,0
2017-11-15,0,0,0,0,0.804166666667,1.75833333333,0
2017-11-16,0,0,1,1,0.0,0.0,0
