date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-02,0,0,0,0,0.0,0.0,0
2015-12-17,0,0,0,0,0.0,0.0,0
2016-02-10,0,0,0,0,0.0,0.0,0
2016-05-11,0,0,0,0,0.0,0.0,0
2016-06-06,0,0,0,0,0.0,0.0,0
2016-06-10,0,0,0,0,0.0,0.0,0
2016-06-23,0,0,0,0,0.0,0.0,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-10,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,0.0,0.0,0
2016-09-26,0,0,0,0,0.1,0.4,0
2016-09-29,0,0,0,0,0.0,1.0,0
2016-10-20,0,0,0,0,0.1,0.4,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-04,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.0,0
2016-11-28,0,0,0,0,0.0,0.0,0
2016-11-29,0,0,0,0,0.0,0.0,0
2016-12-12,0,0,0,0,0.1,0.3,0
2017-02-06,0,0,0,0,0.0,0.0,0
2017-03-27,0,0,0,0,0.0,0.0,0
2017-05-19,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.1,0.4,0
2017-06-22,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-07-31,0,0,0,0,0.0,0.0,0
2017-08-23,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,0.0,0.0,0
2017-10-19,0,1,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,-0.625,0.7,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,-0.5,1.1,0
2017-10-24,0,1,0,0,-0.263636363636,1.15454545455,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.5,0.5,0
2017-10-27,0,0,0,0,0.0,0.0666666666667,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,-0.9,1.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.5,0.5,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.1,0.1,0
2017-11-07,0,0,0,0,-0.4,0.7,0
2017-11-08,0,0,0,0,-0.4,0.7,0
2017-11-09,0,0,0,0,-0.1,0.4,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,1.22727272727,1.54545454545,0
2017-11-12,0,1,0,0,0.0,0.0,0
2017-11-13,0,3,1,0,0.3825,1.58,0
2017-11-14,0,0,0,0,1.2,1.9,0
2017-11-15,0,0,0,0,0.15,0.05,0
2017-11-16,0,0,0,0,0.0,0.0,0
