date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-05-04,0,0,0,0,0.0,0.0,0
2016-05-19,0,1,0,0,0.25,0.5,0
2016-06-08,0,0,0,0,0.0,0.0,0
2016-08-08,0,0,0,0,0.0,0.0,0
2016-11-02,0,0,0,0,0.0,0.0,0
2016-12-22,0,0,0,0,0.0,0.0,0
2017-01-05,0,0,0,0,0.0,0.0,0
2017-01-09,0,0,0,0,0.136363636364,0.454545454545,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0,0
2017-03-28,0,0,0,0,0.0,0.0,0
2017-05-24,0,0,0,0,-0.1,0.6,0
2017-06-01,0,0,0,0,0.0,0.0,0
2017-06-14,0,0,0,0,0.0,0.7,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-08-11,0,0,0,0,0.0,0.0,0
2017-10-10,0,0,0,0,0.6,0.8,0
2017-10-16,0,0,0,0,0.6,0.8,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,-0.8,1.3,0
2017-10-30,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-31,0,0,1,0,-0.2,0.5,0
2017-11-02,0,0,0,0,0.0,0.4,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.277777777778,1.02222222222,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,1,1,0.66,1.04,0
2017-11-08,0,1,0,0,1.575,1.45,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.122222222222,0.519444444444,0
2017-11-12,0,0,0,0,-0.0777777777778,0.144444444444,0
2017-11-13,0,0,0,0,0.325,2.725,0
2017-11-14,0,0,0,0,0.985714285714,1.73571428571,0
2017-11-15,0,0,0,0,1.66785714286,2.26785714286,0
2017-11-16,0,0,0,0,0.0,0.0,0
