date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2017-09-12,0,0,0,0,0.0,0.0,0
2017-10-21,0,1,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.8,1.0,0
2017-10-30,0,0,0,0,-0.05,0.4,0
2017-11-02,0,0,0,0,0.0,0.575,4
2017-11-03,0,1,0,0,0.0,0.0,0
2017-11-04,0,1,0,0,0.0,0.0,0
2017-11-06,0,4,1,0,0.25,0.708333333333,0
2017-11-07,0,1,0,0,0.0,0.0,0
2017-11-08,0,2,1,0,0.0,0.0,0
2017-11-09,0,4,1,0,-0.155555555556,0.288888888889,0
2017-11-10,0,3,1,0,0.208333333333,0.583333333333,0
2017-11-13,0,7,0,0,0.214285714286,0.642857142857,0
2017-11-14,0,11,2,0,1.5,2.33333333333,0
2017-11-15,0,7,3,0,0.25,0.433333333333,0
2017-11-16,0,4,1,0,0.25,0.333333333333,0
