date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-21,0,0,0,0,-0.3,0.5,0
2016-01-25,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,-0.3,0.5,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.1,0.4,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-11-03,0,0,0,0,0.0,0.0,0
2016-11-16,0,0,0,0,0.0,0.0,0
2016-12-08,0,0,0,0,0.0,0.0,0
2017-01-12,0,0,0,0,0.214285714286,0.642857142857,0
2017-01-19,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.136363636364,0.454545454545,0
2017-05-04,0,0,0,0,0.0,0.0,0
2017-08-03,0,0,0,0,0.0,0.0,0
2017-08-08,0,0,0,0,0.0,0.0666666666667,0
2017-10-19,0,0,0,0,0.2,1.4,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.35,0.9,0
2017-10-25,0,1,0,0,0.136363636364,0.454545454545,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.6,0.8,0
2017-10-31,0,1,0,0,0.0,0.0,0
2017-11-01,0,2,0,0,0.0,0.35,0
2017-11-02,0,0,0,1,-0.155555555556,0.288888888889,0
2017-11-03,0,0,0,0,-0.05,0.0833333333333,0
2017-11-04,0,0,0,0,-0.15,0.4,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,-0.0714285714286,0.142857142857,0
2017-11-08,0,1,0,0,0.5,1.1,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,1.0,0.4,0
2017-11-11,0,0,0,0,0.7,0.9,0
2017-11-13,0,0,0,0,0.45,0.15,0
2017-11-14,0,1,0,0,0.0211111111111,1.89555555556,0
2017-11-15,0,0,0,0,0.722222222222,1.46944444444,0
2017-11-16,0,1,0,0,0.0,0.0,0
