date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-22,0,0,0,0,-0.0714285714286,0.142857142857,0
2016-05-20,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-10-24,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-12-15,0,0,0,0,0.0,0.666666666667,0
2017-02-08,0,0,0,0,0.175,0.275,0
2017-06-07,0,0,0,0,0.0,0.0,0
2017-06-16,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-08-11,0,0,0,0,0.0,0.0,0
2017-09-07,0,0,0,0,0.0,0.0,0
2017-09-08,0,0,0,0,-0.3,0.4,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-09-14,0,0,0,0,0.0,0.0,0
2017-09-15,0,0,0,0,0.0,0.0,0
2017-09-18,0,0,0,0,-0.2,0.525,0
2017-09-19,0,0,0,0,0.0,0.0,0
2017-09-20,0,0,0,0,-0.5,1.0,0
2017-09-26,0,0,0,0,0.0,0.0,0
2017-09-27,0,0,0,0,0.0681818181818,0.377272727273,0
2017-09-29,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-10,0,0,0,0,0.1,0.4,0
2017-10-12,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.3,0
2017-10-25,0,0,0,0,0.0,1.0,0
2017-10-26,0,1,1,0,0.272727272727,0.909090909091,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-31,0,1,0,0,0.05,0.720833333333,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,-0.075,0.875,0
2017-11-06,0,0,0,0,0.2,0.2,0
2017-11-08,0,0,0,0,-0.3,1.78888888889,0
2017-11-09,0,0,0,0,0.486363636364,2.43787878788,0
2017-11-10,1,0,0,1,1.4,1.9,0
2017-11-12,0,0,0,0,0.1875,0.5,0
2017-11-13,0,0,0,0,0.0,0.1,0
2017-11-14,0,0,0,0,0.2,1.2,0
2017-11-15,0,2,1,0,0.733333333333,1.56666666667,0
