date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-02-02,0,0,0,0,0.0,0.0,0
2016-05-18,0,0,0,0,0.0,0.0,0
2016-06-22,0,0,0,0,-0.4,0.7,0
2016-08-02,0,0,2,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-08-24,0,0,0,0,0.0,0.0,0
2016-11-01,0,0,0,0,-0.3,0.6,0
2016-11-08,0,0,0,0,0.0,0.0,0
2016-12-09,0,0,0,0,0.0,0.75,0
2016-12-14,0,0,0,0,0.0,0.0,0
2016-12-20,0,0,0,1,0.0,0.0,0
2017-02-01,0,1,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0,0.0769230769231,0
2017-06-22,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-09-05,0,0,1,0,0.0,0.0,0
2017-09-13,0,0,0,0,0.0,0.0,0
2017-09-26,0,0,0,0,-0.166666666667,0.166666666667,0
2017-10-19,0,0,0,0,0.0,0.25,0
2017-10-23,0,0,0,0,0.0,0.85,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.1,0.4,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,-0.1,0.4,0
2017-11-03,0,0,0,0,0.45,0.15,0
2017-11-06,0,0,0,0,-0.2,0.05,0
2017-11-07,0,0,1,0,0.794444444444,1.39444444444,0
2017-11-08,0,0,0,0,-0.0277777777778,0.611111111111,0
2017-11-09,0,0,0,0,0.5,0.5,0
2017-11-10,0,1,0,0,0.175,0.275,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.116666666667,1.45,0
2017-11-14,0,1,0,1,0.5,0.5,0
2017-11-15,0,1,0,0,0.936363636364,2.45454545455,0
2017-11-16,0,0,0,0,0.0,0.0,0
