date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.6,1.0,0
2017-10-20,0,0,0,0,0.6,1.0,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,1,0,0,0.05,1.88333333333,0
2017-10-25,0,0,0,0,0.4,1.3,0
2017-10-26,0,0,0,0,0.5,0.5,0
2017-10-27,0,1,1,0,-0.0625,1.1875,0
2017-10-30,0,0,0,0,-0.1525,1.2275,0
2017-11-01,0,1,1,0,-0.15,0.4,0
2017-11-03,0,1,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,1,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0613636363636,1.07121212121,0
2017-11-07,0,0,0,0,1.735,2.515,0
2017-11-08,0,0,0,0,0.45,1.15,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,-0.133333333333,0.6,0
2017-11-11,0,0,0,0,-0.3,0.5,0
2017-11-13,0,1,0,0,0.45,2.0,0
2017-11-14,0,1,0,0,-0.0333333333333,1.0,0
2017-11-15,0,1,0,0,0.993181818182,1.75227272727,0
