date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-11,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-10-16,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,1,0,0,0.2,0.7,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,1,0,0,0.66,1.04,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.5,0.5,0
2017-11-08,0,0,0,0,0.5,0.5,0
2017-11-09,0,1,0,0,1.1,1.83888888889,0
2017-11-10,0,0,2,0,0.0,0.0,0
2017-11-11,0,1,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,1,0,0.0,0.0,0
2017-11-14,0,3,0,0,0.65625,1.5,0
2017-11-15,0,0,0,0,0.6,1.0,0
2017-11-16,0,1,0,0,0.0,0.0,0
