date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-05-19,0,0,0,0,0.0,0.0,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-11-28,0,0,0,0,0.0,0.0,0
2016-12-08,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-03-03,0,0,0,0,0.0,0.0,0
2017-03-09,0,0,0,0,0.0,0.0,0
2017-06-05,0,0,0,0,-0.6,1.0,0
2017-06-16,0,0,0,0,-0.05,0.15,0
2017-07-05,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-23,0,2,0,0,-0.75,0.816666666667,0
2017-10-24,0,0,0,0,0.5,0.833333333333,0
2017-10-25,0,0,0,0,0.25,0.5,0
2017-10-27,0,0,0,0,0.16,0.54,0
2017-10-30,0,0,0,0,0.525,1.94,0
2017-10-31,0,1,0,0,0.175,1.275,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.1,0
2017-11-06,0,0,0,0,-0.15,0.466666666667,0
2017-11-07,0,0,0,0,-0.9,1.3,0
2017-11-09,0,2,0,0,0.125,1.625,0
2017-11-10,0,0,0,0,0.0,0.99,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,2,0,0,1.0,1.225,0
2017-11-14,0,0,0,0,0.85,1.65,0
2017-11-15,0,4,0,0,0.25,0.95,0
2017-11-16,0,0,0,0,0.5,0.875,0
