date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-02-03,0,0,0,0,0.0,0.0,0
2016-03-01,0,0,0,0,0.0,0.0,0
2016-03-03,0,0,0,0,0.0,0.0666666666667,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-05-06,0,0,0,0,0.0,0.0,0
2016-06-21,0,0,0,0,0.0,0.0,0
2016-07-13,0,0,0,0,0.0,1.0,0
2016-07-26,0,0,0,0,0.0,0.0769230769231,0
2016-07-27,0,0,0,0,0.1,0.4,0
2016-08-09,0,0,0,0,0.0,0.0,3
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0769230769231,0
2016-10-26,0,0,0,0,0.0,0.0,4
2016-11-04,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-19,0,0,0,0,0.0,0.0,0
2017-01-31,0,0,0,0,0.0,0.0769230769231,0
2017-02-08,0,0,0,0,0.0,0.0,0
2017-03-10,0,0,0,0,0.0,0.0,0
2017-03-30,0,0,0,0,0.0,0.0,0
2017-04-13,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.5,0.5,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.794444444444,1.26388888889,0
2017-11-01,0,0,0,0,1.12222222222,1.85277777778,0
2017-11-02,0,0,1,0,-0.0928571428571,1.34761904762,0
2017-11-03,0,0,0,0,0.0,0.1,0
2017-11-06,0,1,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,1,2,0,0.125,1.225,0
2017-11-09,0,0,0,0,0.0,0.0666666666667,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0,0.0,0
2017-11-14,0,0,0,0,0.448863636364,1.80454545455,0
2017-11-15,0,0,0,0,0.0,0.8,0
2017-11-16,0,0,0,0,0.0,0.0,0
