date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-01,0,0,0,0,0.0,0.375,0
2015-12-23,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-08-01,0,0,0,0,0.0,0.0,0
2016-09-26,0,0,0,0,0.0,0.0,0
2016-10-10,0,0,0,0,0.0,0.0,0
2016-10-28,0,0,0,0,0.0,1.0,0
2016-11-07,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.25,0
2016-11-15,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-16,0,0,0,0,0.0,0.0,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-02-24,0,0,0,0,0.0,0.0,0
2017-05-23,0,0,0,0,0.0,0.0,0
2017-07-27,0,0,0,0,0.0,0.0,0
2017-08-28,0,0,0,0,0.136363636364,0.454545454545,0
2017-08-29,0,0,0,0,0.5,0.5,0
2017-08-30,0,0,0,0,0.0,0.0,0
2017-09-01,0,0,0,0,0.136363636364,0.454545454545,0
2017-09-14,0,0,0,0,0.136363636364,0.454545454545,0
2017-09-18,0,0,0,0,0.0,0.375,0
2017-09-19,0,0,0,0,0.0,0.375,0
2017-09-20,0,0,0,0,0.0,0.3,0
2017-10-21,0,1,0,0,0.290909090909,0.636363636364,0
2017-10-26,0,0,0,0,0.4,0.4,0
2017-10-27,0,2,0,0,-0.316666666667,0.666666666667,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.8,1.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,-0.4,0.7,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.5,0.5,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,0,0,0.752777777778,2.14722222222,0
2017-11-14,0,1,0,0,1.09375,3.15625,0
2017-11-15,0,3,0,0,0.431944444444,1.67638888889,0
2017-11-16,0,1,1,0,0.136363636364,0.454545454545,0
