date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-13,0,0,0,0,0.0,0.0,0
2015-11-21,0,0,0,0,0.136363636364,0.454545454545,0
2015-11-23,0,0,0,0,0.0,0.0,0
2015-11-30,0,0,0,0,0.0,0.0,0
2015-12-01,0,0,0,0,-0.2,0.5,0
2015-12-14,0,0,0,0,0.0,0.0,0
2015-12-16,0,0,0,0,0.0,0.0,0
2015-12-22,0,0,0,0,0.0,0.0,0
2016-01-12,0,0,0,0,0.25,0.333333333333,0
2016-01-22,0,0,0,0,0.136363636364,0.454545454545,0
2016-01-26,0,0,0,0,0.0,0.0,0
2016-02-03,0,0,0,0,0.0,0.0,0
2016-03-04,0,0,0,0,0.0,0.0,0
2016-04-01,0,0,0,0,0.0,0.0,0
2016-04-22,0,0,0,0,0.0,0.0,0
2016-04-27,0,0,0,0,0.0,0.0,0
2016-06-01,0,0,0,0,0.214285714286,0.571428571429,0
2016-06-08,0,0,0,0,0.0,0.0,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-14,0,0,0,0,0.5,0.875,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-08-01,0,0,0,0,0.0,0.0,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-08-05,0,0,0,0,0.0,0.0,0
2016-08-08,0,0,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.0,0.0,0
2016-08-16,0,0,0,0,0.4,0.7,0
2016-08-24,0,0,0,0,0.0,0.0,0
2016-08-28,0,0,0,0,0.0,0.0,0
2016-08-30,0,0,0,0,0.0,0.0,0
2016-09-08,0,0,0,0,0.0,0.0,0
2016-09-09,0,0,0,0,0.0,0.0,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-09-28,0,0,0,0,0.0,0.0,0
2016-10-03,0,0,0,0,-0.0777777777778,0.519444444444,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-10-31,0,0,0,0,-0.125,0.375,0
2016-11-04,0,0,0,0,0.214285714286,0.571428571429,0
2016-11-07,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.0,0.0,0
2016-12-02,0,0,0,0,-0.125,0.375,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-06,0,0,0,0,-0.1,0.475,0
2016-12-11,0,0,0,0,0.136363636364,0.454545454545,0
2016-12-13,0,0,0,0,0.0,0.0,0
2016-12-21,0,0,0,0,0.27380952381,0.619047619048,0
2016-12-28,0,0,0,0,0.4,0.7,0
2017-01-04,0,0,0,0,0.0,0.0,0
2017-01-05,0,0,0,0,0.214285714286,0.642857142857,0
2017-01-06,0,0,0,0,0.0,0.0,0
2017-01-10,0,0,0,0,0.0,0.0769230769231,0
2017-01-12,0,0,0,0,0.214285714286,0.571428571429,0
2017-01-19,0,0,0,0,0.357142857143,0.571428571429,0
2017-01-24,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,-0.231818181818,0.727272727273,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-02-17,0,0,0,0,0.0,0.625,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-03-02,0,0,0,0,0.0,0.0,0
2017-03-07,0,0,0,0,0.0,0.0,0
2017-03-15,0,0,0,0,0.214285714286,0.571428571429,0
2017-03-23,0,0,0,0,0.0,0.0,0
2017-03-28,0,0,0,0,0.0,0.5,0
2017-03-29,0,0,0,0,0.0,0.0,0
2017-03-30,0,0,0,0,0.0,0.0,0
2017-04-03,0,0,0,0,0.0,0.0,0
2017-04-10,0,0,0,0,0.0,0.0,0
2017-04-13,0,0,0,0,0.0,0.0,0
2017-05-05,0,0,0,0,0.0,0.0,0
2017-05-19,0,0,0,0,0.0,0.0,0
2017-05-22,0,0,0,0,0.0,0.0,0
2017-05-24,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.0,0.0,0
2017-05-29,0,0,0,0,0.0,0.0,0
2017-06-01,0,0,0,0,0.0,0.0,0
2017-06-07,0,0,0,0,0.0,0.0,0
2017-06-14,0,0,0,0,0.0,0.0,0
2017-06-22,0,0,0,0,0.0,0.0,0
2017-06-28,0,0,0,0,0.157142857143,0.335714285714,0
2017-07-11,0,0,0,0,0.0,0.0,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-07-18,0,0,0,0,0.0,0.0,0
2017-07-24,0,0,0,0,0.5,0.5,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-07-29,0,0,0,0,0.1,0.0,0
2017-08-22,0,0,0,0,0.136363636364,0.454545454545,0
2017-08-23,0,0,0,0,0.0,0.0,0
2017-08-29,0,0,0,0,0.0,0.0,0
2017-08-31,0,0,0,0,0.0,0.0,0
2017-09-01,0,0,0,0,-0.0777777777778,0.144444444444,0
2017-09-07,0,0,0,0,0.0,0.0,0
2017-09-18,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-05,0,0,0,0,-0.225,0.45,0
2017-10-12,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,-0.05,0.9,0
2017-10-20,0,0,0,0,0.378571428571,0.860714285714,0
2017-10-23,0,0,0,0,0.468181818182,1.47727272727,0
2017-10-24,0,0,0,0,-0.1,0.1,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.433333333333,0.733333333333,0
2017-10-27,0,1,0,0,0.525,1.16666666667,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.458333333333,1.3,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,1,0.05,0.5,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,1,1,0,0.6,1.1,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.09375,0.3125,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.25,0.533333333333,0
2017-11-13,0,0,0,0,-0.45,1.3,0
2017-11-14,0,1,0,0,0.766666666667,0.845833333333,0
2017-11-15,0,0,0,0,0.5,1.5,0
2017-11-16,0,0,0,0,0.116666666667,1.30555555556,0
