date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-14,0,0,0,0,0.0,0.0,0
2016-04-11,0,0,0,0,0.0,0.0,0
2016-07-12,0,0,0,0,0.0,0.0,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2017-01-18,0,0,0,0,0.0,0.0,0
2017-03-03,0,0,0,0,0.0,0.0,0
2017-04-12,0,0,0,0,0.25,0.333333333333,0
2017-07-11,0,0,0,0,0.0,0.0,0
2017-07-12,0,0,0,0,0.0,0.0,0
2017-10-11,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.225,0.55,0
2017-10-18,0,0,0,1,0.45,2.75,0
2017-10-19,0,0,0,0,0.4,1.2,0
2017-10-20,0,0,0,0,0.2,0.6,0
2017-10-21,0,0,0,0,0.2,0.6,0
2017-10-23,0,0,0,0,0.1,0.4,0
2017-10-24,0,0,0,0,0.4,1.2,0
2017-10-25,0,0,0,0,0.2,0.6,0
2017-10-26,0,1,0,0,0.5,0.85,0
2017-10-31,0,0,0,0,0.25,1.45,0
2017-11-01,0,0,0,0,0.36,1.14,0
2017-11-03,0,0,0,0,0.2,0.6,0
2017-11-04,0,0,1,0,0.0,0.0,0
2017-11-06,0,0,0,0,1.0,0.3,0
2017-11-07,0,0,0,0,1.11666666667,1.36666666667,0
2017-11-08,0,0,0,0,0.4,1.2,0
2017-11-09,0,0,0,0,0.75,2.25,0
2017-11-10,0,0,0,0,-0.1,0.7,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.1,0
2017-11-13,0,1,0,0,1.5,6.83333333333,0
2017-11-14,0,0,1,0,-0.0291666666667,1.53333333333,0
2017-11-15,0,1,0,0,0.614285714286,4.82142857143,0
2017-11-16,0,0,0,0,0.0,0.0,0
