date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-18,0,0,0,0,0.0,0.0,0
2016-05-18,0,0,0,0,0.0,0.0,0
2016-05-20,0,0,0,0,0.0,0.0,0
2016-08-19,0,0,0,0,0.0,0.0,0
2016-11-18,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.136363636364,0.454545454545,0
2017-02-24,0,0,0,0,0.0,0.0,0
2017-03-21,0,0,0,0,0.0,0.0,0
2017-05-19,0,0,0,0,0.0,0.0,0
2017-08-18,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,-0.0666666666667,0.0666666666667,0
2017-10-20,0,1,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,-0.2,0.1,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,-0.05,1.05,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,1.17142857143,2.67142857143,0
2017-11-14,0,2,1,1,0.466666666667,4.28333333333,0
2017-11-15,0,0,0,0,0.45,4.375,0
2017-11-16,0,0,0,0,0.0,0.1,0
