date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.175,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-21,0,1,0,0,-0.375,0.9,0
2017-10-23,0,0,0,0,0.025,0.3,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,-0.509595959596,1.37171717172,0
2017-10-27,0,0,0,0,-0.25,0.5,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.75,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.3,0
2017-11-06,0,1,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,-0.202777777778,0.394444444444,0
2017-11-09,0,0,0,0,0.366666666667,0.7,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,-0.125,0.283333333333,0
2017-11-14,0,0,0,0,-0.541666666667,1.92222222222,0
