date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-25,0,0,0,0,0.05,0.5,0
2015-12-01,0,0,0,0,0.05,0.5,0
2015-12-02,0,0,0,0,0.05,0.5,0
2015-12-16,0,0,0,0,0.05,0.5,0
2016-01-11,0,0,0,0,0.05,0.5,0
2016-07-27,0,0,0,0,0.05,0.5,0
2016-08-02,0,0,0,0,0.05,0.5,0
2016-08-03,0,0,0,0,0.05,0.5,0
2016-08-09,0,0,0,0,0.025,0.75,0
2016-10-13,0,0,0,0,0.05,0.5,0
2016-10-26,0,0,0,0,0.05,0.5,0
2016-12-07,0,0,0,0,0.025,0.288461538462,0
2016-12-08,0,0,0,0,0.05,0.5,0
2017-01-10,0,0,0,0,0.05,0.5,0
2017-01-27,0,0,0,0,0.05,0.5,0
2017-02-06,0,0,0,0,0.05,0.5,0
2017-02-21,0,0,0,0,0.175,0.35,0
2017-03-01,0,0,0,0,0.025,0.288461538462,0
2017-03-30,0,0,0,0,0.05,0.5,0
2017-04-05,0,0,0,0,0.05,0.5,0
2017-05-31,0,0,0,0,0.05,0.5,0
2017-06-07,0,0,0,0,0.025,0.288461538462,0
2017-07-26,0,0,0,0,0.05,0.5,0
2017-08-18,0,0,0,0,0.05,0.5,0
2017-08-24,0,0,0,0,0.05,0.5,0
2017-08-30,0,0,0,0,0.1,1.0,0
2017-09-05,0,0,0,0,0.108333333333,0.416666666667,0
2017-09-20,0,0,0,0,0.05,0.5,0
2017-09-21,0,0,0,0,0.05,0.5,0
2017-09-28,0,0,0,0,0.05,0.5,0
2017-10-03,0,0,0,0,0.225,0.85,0
2017-10-09,0,0,0,0,0.1,0.4,0
2017-10-19,0,0,0,0,0.025,0.25,0
2017-10-23,0,0,1,0,0.1,1.0,0
2017-10-24,0,0,0,0,0.425,2.0,0
2017-10-25,0,0,0,0,0.1,1.0,0
2017-10-26,0,0,0,0,0.1,1.0,0
2017-10-27,0,0,0,0,0.1,1.0,0
2017-10-30,0,0,0,0,0.348148148148,3.01296296296,0
2017-10-31,0,2,1,0,0.358333333333,2.87222222222,0
2017-11-02,0,0,0,0,0.164814814815,1.56296296296,0
2017-11-03,0,0,0,0,0.05,0.5,0
2017-11-04,0,0,0,0,0.025,0.75,0
2017-11-06,0,0,0,0,0.225,2.3,0
2017-11-07,0,0,0,0,0.025,0.8,0
2017-11-08,0,0,0,0,0.575,0.9,0
2017-11-09,0,0,0,0,0.1,1.0,0
2017-11-10,0,0,0,0,0.175,2.25,0
2017-11-11,0,0,0,0,0.05,0.5,0
2017-11-12,0,0,0,0,0.15,1.5,0
2017-11-13,0,0,1,0,0.395,2.5,0
2017-11-14,0,0,0,0,0.1,2.0,0
2017-11-15,0,1,0,0,0.971428571429,4.63373015873,0
2017-11-16,0,0,0,0,0.2,0.916666666667,0
