date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-23,0,0,1,0,0.05,0.5,0
2015-11-24,0,1,0,0,0.025,0.25,0
2015-11-25,0,0,0,0,0.05,0.5,0
2015-12-01,0,0,0,0,0.1,1.0,0
2015-12-04,0,0,1,0,0.075,0.75,0
2015-12-07,0,0,0,0,0.1,1.0,0
2015-12-11,0,0,0,0,0.025,0.288461538462,0
2015-12-15,0,0,0,0,0.05,0.5,0
2015-12-18,0,0,0,0,0.05,0.5,0
2015-12-21,0,0,0,0,0.0931818181818,0.477272727273,0
2015-12-23,0,0,0,0,0.05,0.5,0
2015-12-28,0,0,0,0,0.05,0.5,0
2015-12-31,0,0,0,0,0.0875,0.425,0
2016-01-13,0,0,0,0,0.075,0.75,0
2016-01-26,0,0,0,0,0.05,0.5,0
2016-02-12,0,0,0,0,0.05,0.5,0
2016-02-25,0,0,0,0,0.05,0.5,0
2016-02-26,0,0,0,0,0.05,0.5,0
2016-03-01,0,0,0,0,0.025,0.25,0
2016-03-02,0,1,1,0,0.025,0.25,0
2016-03-29,0,0,1,0,0.05,0.5,0
2016-04-01,0,0,1,0,0.05,0.5,0
2016-04-25,0,0,0,0,0.05,0.5,0
2016-05-03,0,0,0,0,0.0621212121212,0.318181818182,0
2016-05-06,0,0,0,0,0.0,0.0,0
2016-05-20,0,0,0,0,0.0,0.0,0
2016-05-24,0,0,0,0,0.0,0.0,0
2016-05-25,0,0,0,0,0.0,0.0,0
2016-06-02,0,0,0,0,0.0,0.0,0
2016-06-03,0,0,0,0,0.075,0.25,0
2016-06-08,0,0,0,0,0.136363636364,0.454545454545,0
2016-06-10,0,0,0,0,0.0,0.0,0
2016-06-14,0,0,0,0,0.136363636364,0.454545454545,0
2016-06-23,0,0,0,0,0.0,0.0,0
2016-06-27,0,0,1,0,0.05,0.5,0
2016-06-29,0,0,0,0,-0.0777777777778,0.394444444444,0
2016-06-30,0,0,0,0,0.0,0.5,0
2016-07-01,0,0,0,0,0.0,0.0,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-11,0,0,0,0,0.0,0.0,0
2016-07-22,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-07-28,0,1,2,0,-0.3,0.5,0
