date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-04-25,0,0,0,0,0.4,0.5,0
2016-06-21,0,0,0,0,0.4,0.5,0
2016-10-19,0,0,0,0,0.4,0.5,0
2017-02-21,0,0,0,0,0.4,0.5,0
2017-02-27,0,0,0,0,0.2,0.625,0
2017-03-30,0,0,0,0,0.4,0.5,0
2017-04-05,0,0,0,0,0.4,0.5,0
2017-04-19,0,0,0,0,0.8,1.0,0
2017-04-21,0,0,0,0,0.4,0.5,0
2017-04-24,0,0,0,0,0.4,0.5,0
2017-07-20,0,0,0,0,0.4,0.5,0
2017-08-21,0,0,0,0,0.4,0.5,0
2017-09-25,0,0,0,0,0.4,0.5,0
2017-10-16,0,0,0,0,0.125,0.45,0
2017-10-19,0,0,0,0,2.65,3.4375,0
2017-10-20,0,0,1,0,2.4,3.6,0
2017-10-23,0,0,0,0,0.55,0.95,0
2017-10-24,0,0,0,0,1.75,2.45,0
2017-10-25,0,0,0,0,0.725,1.175,0
2017-10-26,0,0,0,0,0.8,1.0,0
2017-10-27,0,0,0,0,0.4,0.5,0
2017-10-28,0,0,0,0,0.4,0.5,0
2017-10-30,0,1,0,0,0.8,1.0,0
2017-10-31,0,0,0,0,0.4,0.5,0
2017-11-02,0,0,0,0,1.6,2.0,0
2017-11-05,0,0,0,0,0.15,0.45,0
2017-11-06,0,0,0,0,1.08636363636,1.90454545455,0
2017-11-07,0,0,1,0,1.2,1.5,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,1.0,1.25,0
2017-11-10,0,1,1,0,1.09444444444,2.28888888889,0
2017-11-11,0,0,0,0,1.6,2.0,0
2017-11-12,0,0,0,0,0.566666666667,0.733333333333,0
2017-11-13,0,0,0,0,2.38,3.92,0
2017-11-14,0,1,1,0,1.975,3.175,0
2017-11-15,0,0,0,0,0.6,0.75,0
2017-11-16,0,0,0,0,0.0,0.0,0
