date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-26,0,0,0,0,0.0,0.0,0
2016-05-12,0,0,0,0,0.3,0.475,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,0.0,0.0,0
2016-10-18,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-11,0,0,0,0,-0.0125,0.0625,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-07-19,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-10-10,0,0,0,0,-0.1,0.6,0
2017-10-17,0,1,0,0,0.25,0.85,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-26,0,3,0,0,0.269444444444,1.28888888889,0
2017-10-27,0,0,0,0,0.075,0.75,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,1.2,1.35,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,1,0,0,0.16,0.54,0
2017-11-04,0,0,0,0,0.333333333333,0.6,0
2017-11-06,0,0,1,0,-0.1,0.4,0
2017-11-07,0,0,0,0,0.5,0.5,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.675,0.95,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,1,0.0,0.0,0
2017-11-13,0,0,0,0,-0.4,0.7,0
2017-11-14,0,0,0,0,0.75,1.25,0
2017-11-15,0,2,0,0,0.5,1.1,0
2017-11-16,0,0,0,0,0.0,0.0,0
