date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-21,0,0,0,0,0.0,0.0,0
2016-06-13,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-08-02,0,0,0,0,0.0,0.625,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-08-09,0,0,0,0,-0.125,0.375,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-08-22,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-12-14,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-04-19,0,0,0,0,0.0,0.0,0
2017-06-28,0,0,0,0,-0.15,0.25,0
2017-07-21,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.333333333333,1.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.5,0.5,0
2017-10-24,0,1,1,0,1.0,3.05,0
2017-10-25,0,0,0,0,0.5,1.5,0
2017-10-26,0,0,0,0,0.5,0.5,0
2017-10-27,0,0,0,0,0.6,0.8,0
2017-10-30,0,0,0,0,0.166666666667,0.333333333333,0
2017-10-31,0,0,0,0,0.0,1.1,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,2,0,0.0,0.0,0
2017-11-07,0,1,0,0,0.75,1.35,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,-0.5,0.5,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.368181818182,0.677272727273,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0,0.1,0
2017-11-14,0,1,1,0,1.0,2.625,0
2017-11-15,0,1,0,0,1.15,2.7,0
