date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-02-03,0,0,0,0,0.0,0.0,0
2016-05-01,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.416666666667,0.5,0
2017-01-31,0,0,0,0,-0.0714285714286,0.142857142857,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0,0.0,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-02-24,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,-0.139730639731,0.481144781145,0
2017-06-01,0,0,0,0,-0.166666666667,0.166666666667,0
2017-06-02,0,0,0,0,0.3,0.1,0
2017-06-15,0,0,0,0,0.3,0.1,0
2017-07-18,0,0,0,0,-0.75,0.75,0
2017-08-04,0,0,0,0,0.3,0.1,0
2017-08-28,0,0,0,0,0.0,0.0,0
2017-08-29,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.7,1.03333333333,0
2017-10-18,0,0,2,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.8,0
2017-10-20,0,0,0,0,-0.0833333333333,0.0833333333333,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.25,0.85,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.333333333333,0
2017-10-31,0,0,0,0,-0.4,0.7,0
2017-11-01,0,0,0,0,0.6,0.8,0
2017-11-02,0,0,0,0,0.7,0.9,0
2017-11-03,0,0,0,0,1.0,1.0,0
2017-11-06,0,0,0,0,0.7,0.95,0
2017-11-07,0,1,0,0,-0.863636363636,1.70454545455,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,1,1,0,0.45,0.75,0
2017-11-10,0,0,0,0,1.0,1.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,1,0,0.716666666667,1.75,0
2017-11-14,0,0,1,0,0.714545454545,2.07181818182,0
2017-11-15,0,1,1,0,-0.185714285714,1.5619047619,0
2017-11-16,0,0,0,0,0.0,0.0,0
