date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-24,0,0,0,0,0.0,0.0,0
2016-03-03,0,0,0,0,0.0,0.0,0
2016-05-23,0,0,0,0,0.0,0.0,0
2016-05-24,0,0,0,0,-0.1,0.4,0
2016-05-25,0,0,0,0,0.0,0.0,0
2016-06-08,0,0,0,0,0.136363636364,0.454545454545,0
2016-07-08,0,0,1,0,0.0,0.0,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-07-29,0,1,0,0,0.0,0.1875,0
2016-08-08,0,0,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.75,0.95,0
2016-08-12,0,0,0,0,-0.05,0.1,0
2016-09-07,0,1,0,0,0.3,0.1,3
2016-09-08,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,0.0,0.0,0
2016-09-28,0,0,0,0,0.0,0.0,0
2016-10-18,0,0,0,0,0.0,0.0,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-11-02,0,0,0,0,0.0,0.0,0
2016-11-10,0,0,0,0,0.0,0.0,0
2016-11-22,0,0,0,0,0.0,0.0,0
2016-11-23,0,0,0,0,0.025,0.4,0
2016-11-30,0,0,0,0,0.0,0.0,0
2016-12-22,0,0,0,0,0.0,0.0,0
2017-01-17,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-06,0,0,0,0,0.0,0.75,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-02-23,0,0,0,0,0.0,0.0,1
2017-02-28,0,0,0,0,0.0,0.0,0
2017-03-02,0,0,0,0,0.0,0.0,0
2017-03-09,0,0,0,0,0.0,0.125,0
2017-03-23,0,0,0,0,0.0,0.0769230769231,0
2017-03-27,0,0,0,0,0.0,0.0,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-05-31,0,0,0,0,0.0,0.0,0
2017-06-08,0,0,0,0,0.0,0.0,0
2017-06-12,0,0,0,0,0.0,0.0,0
2017-06-15,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0769230769231,0
2017-07-25,0,0,0,0,0.0,0.0,0
2017-07-28,0,0,0,0,0.0,0.0,0
2017-08-04,0,0,0,0,-0.1,0.4,0
2017-08-14,0,0,0,0,0.0,0.0,0
2017-09-05,0,0,0,0,0.0,0.0,3
2017-09-11,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-09-13,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,0.0,0.0,4
2017-10-19,0,0,0,0,0.25,0.708333333333,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.136363636364,0.454545454545,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.1,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.25,1.125,0
2017-11-02,0,1,0,0,0.35,0.35,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.136363636364,0.5,0
2017-11-07,0,1,1,0,0.0130681818182,1.07121212121,0
2017-11-08,0,0,0,0,-0.05,0.2,0
2017-11-09,0,0,0,0,-0.275,1.11538461538,0
2017-11-10,0,0,1,0,0.0,0.0,0
2017-11-13,0,0,1,0,1.03409090909,2.28863636364,0
2017-11-14,0,0,0,0,-0.166666666667,2.33333333333,0
2017-11-15,0,0,0,0,1.25,1.575,0
2017-11-16,0,0,0,0,0.0,0.0,0
